Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Avg. volume,Age (mo),Winning months,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
Hydro Protocol,0.1607,0.0061,- 33.89,- 98.48,N/A,4.25 MM,143.18 K,16022,13,25.00,0.2403,-97.48,0.00002159,-96.48
Rotharium,4.64,1.26,- 33.24,- 92.64,N/A,4.23 MM,3.10 K,3541,5,8.00,10.35,-87.82,0.0016,-90.12
Ultiledger,0.0062,0.0069,- 24.03,9.32,N/A,4.18 MM,642.74 K,23204,1,0.00,0.0070,-0.94,0.00000202,-56.46
I/O Coin,0.0538,0.2385,- 19.99,128.31,N/A,4.16 MM,8.41 K,3592,54,25.00,7.26,-96.72,0.0013,-97.61
Ormeus Coin,0.5670,0.1155,- 19.29,- 83.12,N/A,4.15 MM,194.76 K,202232,16,17.00,5.19,-97.77,0.0007,-97.81
Phore,0.2460,0.2384,- 35.76,- 51.43,N/A,4.14 MM,1.50 K,203185,15,25.00,8.72,-97.27,0.0006,-95.08
Airbloc,0.0340,0.0164,- 39.85,- 85.42,N/A,4.14 MM,860.30 K,228948,6,8.00,0.0485,-66.16,0.00000658,-68.55
Apex,0.1610,0.0089,- 43.13,- 95.82,N/A,4.13 MM,106.01 K,532716,10,25.00,0.3318,-97.32,0.00003435,-96.74
ChatCoin,0.3396,0.0060,- 39.07,- 99.29,N/A,4.12 MM,1.18 MM,344784,13,17.00,0.4505,-98.67,0.00004457,-98.32
DomRaider,0.0493,0.0070,- 31.79,- 96.33,N/A,4.12 MM,1.35 K,38555,16,17.00,0.1638,-95.75,0.00001163,-92.43
NAGA,1.54,0.0659,- 39.19,- 97.09,N/A,4.11 MM,129.51 K,108859,13,25.00,4.24,-98.45,0.0003,-97.48
Digix Gold Token,44.44,41.28,- 1.48,- 1.43,N/A,4.11 MM,57.10 K,671015,9,42.00,87.42,-52.78,0.0215,-75.81
BOScoin,0.7169,0.0073,- 26.96,- 95.74,N/A,4.11 MM,44.18 K,370998,15,25.00,7.06,-99.90,0.0005,-99.81
Online,0.0028,0.0047,- 42.17,61.40,N/A,4.10 MM,606.56,399,2,17.00,0.0079,-40.82,0.00000228,-74.08
SpaceChain,0.3320,0.0079,- 29.73,- 98.56,N/A,4.09 MM,174.22 K,87022,13,8.00,0.4316,-98.16,0.00003879,-97.42
SpankChain,0.0313,0.0136,- 39.35,- 63.62,N/A,4.08 MM,46.84 K,28230,14,33.00,0.6338,-97.86,0.00004466,-96.15
SIX,0.0269,0.0149,- 33.41,- 77.51,N/A,4.07 MM,12.30 K,138158,5,0.00,0.0385,-61.41,0.00000603,-68.80
FansTime,0.0100,0.0014,- 30.63,- 94.96,N/A,4.06 MM,193.93 K,174718,7,0.00,0.0105,-86.49,0.00000133,-86.46
GET Protocol,4.48,0.3563,- 10.81,- 93.99,N/A,4.06 MM,9.70 K,1282,13,17.00,4.20,-91.52,0.0004,-87.73
Rublix,0.1546,0.1951,- 8.78,29.05,N/A,4.06 MM,23.42 K,14700,9,42.00,0.4289,-54.50,0.00007970,-69.08
Unikoin Gold,0.3183,0.0280,- 29.68,- 91.91,N/A,4.02 MM,117.08 K,52765,15,17.00,2.18,-98.71,0.0001,-97.38
HempCoin,0.0001,0.0164,- 25.29,10351.36,N/A,4.01 MM,15.04 K,6596,55,33.00,0.6416,-97.44,0.00004435,-95.33
XMax,0.0032,0.0004,- 24.88,- 95.29,N/A,4.01 MM,498.32 K,81094,8,8.00,0.0033,-88.85,0.00000050,-89.97
Neumark,0.4262,0.1079,- 26.53,- 60.20,N/A,3.99 MM,4.08 K,2895,13,25.00,2.57,-95.81,0.0002,-91.90
Delphy,0.8211,0.0715,- 34.41,- 91.40,N/A,3.98 MM,368.46 K,1795690,15,17.00,4.64,-98.46,0.0003,-97.38
0chain,0.4968,0.0992,- 29.75,- 86.48,N/A,3.98 MM,17.34 K,19882,7,8.00,0.5853,-83.05,0.00008791,-85.75
U Network,0.0017,0.0006,- 36.98,- 84.12,N/A,3.96 MM,132.90 K,93340,10,17.00,0.0086,-92.67,0.00000100,-91.96
ECC,0.00002402,0.0002,- 35.65,327.07,N/A,3.95 MM,979.36,368,59,8.00,0.0039,-95.92,0.00000044,-95.45
BABB,0.0005,0.0002,- 21.98,- 33.04,N/A,3.90 MM,24.80 K,40733,11,25.00,0.0030,-93.87,0.00000033,-93.92
CrypticCoin,0.0024,0.0015,- 23.33,- 37.68,N/A,3.89 MM,114.07 K,194848,3,17.00,0.0079,-80.66,0.00000143,-86.74
DADI,0.4792,0.0516,- 30.37,- 93.66,N/A,3.88 MM,249.34 K,152366,12,17.00,0.4498,-88.53,0.00003911,-83.35
Diamond,0.5734,1.21,- 27.67,21.68,N/A,3.88 MM,16.05 K,8658,62,8.00,32.28,-96.26,0.0030,-94.88
CloakCoin,0.1797,0.7269,- 25.49,534.33,N/A,3.85 MM,99.25 K,302353,56,33.00,31.21,-97.67,0.0053,-98.25
Remme,0.0278,0.0062,- 12.55,- 84.76,N/A,3.83 MM,524.25 K,304177,11,33.00,0.0331,-81.15,0.00000324,-75.58
carVertical,0.0143,0.0005,- 28.12,- 98.00,N/A,3.83 MM,22.68 K,6138,12,25.00,0.0112,-95.56,0.00000119,-94.95
VeriCoin,0.0034,0.1208,- 16.46,1896.61,N/A,3.83 MM,334.63 K,38969,57,33.00,2.61,-95.38,0.0005,-97.03
PlayCoin [ERC20],0.1292,0.0209,- 36.11,- 80.52,N/A,3.77 MM,2.39 MM,1859759,3,8.00,0.1149,-81.83,0.00001828,-85.56
Ulord,0.1463,0.0451,- 29.33,- 79.98,N/A,3.77 MM,575.90 K,257911,5,8.00,0.1603,-71.85,0.00002361,-75.86
Hashgard,0.0006,0.00007477,- 35.19,- 91.99,N/A,3.73 MM,865.23 K,328630,7,17.00,0.0004,-82.50,0.00000005,-80.77
Covesting,2.39,0.2051,- 42.64,- 93.77,N/A,3.69 MM,19.79 K,14213,12,25.00,2.05,-89.98,0.0002,-88.30
FairCoin,0.0030,0.0691,- 15.51,3957.68,N/A,3.68 MM,2.49 K,1246,59,50.00,1.49,-95.35,0.0004,-97.64
BaaSid,0.0017,0.0010,- 14.30,- 19.18,N/A,3.68 MM,942.28,64398,6,8.00,0.0044,-76.71,0.00000067,-80.64
Lamden,0.5661,0.0257,- 17.11,- 95.52,N/A,3.66 MM,21.84 K,12122,13,17.00,0.7512,-96.58,0.00006373,-94.90
KickCoin,0.2784,0.0033,- 36.21,- 98.34,N/A,3.64 MM,512.60 K,157595,16,33.00,0.1620,-97.95,0.00002003,-97.90
GoldCoin,0.0017,0.0873,31.59,3730.07,N/A,3.64 MM,6.68 K,22950,68,33.00,0.4935,-82.31,0.0001,-91.94
Wibson,0.0017,0.0014,N/A,- 56.38,N/A,3.63 MM,7.59 K,1218096,0,0.00,0.0017,-16.27,0.00000049,-63.42
ADAMANT Messenger,0.0507,0.0444,- 28.65,- 28.68,N/A,3.61 MM,116.31 K,141639,1,0.00,0.0499,-11.07,0.00001454,-61.48
Nasdacoin,0.1058,0.1809,3.20,459.50,N/A,3.60 MM,398.08 K,138272,5,17.00,6.21,-97.09,0.0015,-98.50
Mooncoin,0.00000989,0.00001595,- 23.48,- 20.17,N/A,3.60 MM,302.81,580,61,17.00,0.0008,-98.11,0.00000025,-100.00
Paccoin,0.00000001,0.0005,- 15.92,12965105.84,N/A,3.59 MM,34.42 K,14433,39,17.00,0.0150,-96.48,0.00000161,-95.66
Myriad,0.0047,0.0022,- 25.68,- 76.72,N/A,3.59 MM,19.09 K,6591,59,33.00,0.0531,-95.94,0.00001000,-97.30
Consensus,0.0100,0.0022,- 29.65,- 84.77,N/A,3.57 MM,33.19 K,25153,10,17.00,0.0527,-95.84,0.00000537,-94.79
Graft,0.0413,0.0066,- 36.63,- 87.57,N/A,3.56 MM,21.98 K,11438,11,42.00,0.0598,-88.92,0.00000795,-89.43
ColossusCoinXT,0.0002,0.0003,- 15.13,66.12,N/A,3.56 MM,7.12 K,4485,16,25.00,0.0224,-98.58,0.00000135,-97.03
Mintcoin,0.00002486,0.0001,- 7.33,312.75,N/A,3.56 MM,283.98,136,60,42.00,0.0029,-95.13,0.00000045,-95.52
VINchain,0.0052,0.0074,- 20.19,2.12,N/A,3.53 MM,488.72 K,90337,6,17.00,0.0194,-62.07,0.00000295,-68.47
PotCoin,0.0046,0.0158,- 8.92,268.68,N/A,3.51 MM,4.42 K,7626,60,17.00,0.4255,-96.29,0.00006642,-96.99
FintruX Network,0.3049,0.0369,- 7.81,- 95.52,N/A,3.51 MM,16.60 K,2409,9,8.00,0.3307,-88.84,0.00003589,-87.02
HiCoin,0.0818,0.0008,- 13.09,- 99.75,N/A,3.50 MM,2.13 K,2763,33,33.00,0.0886,-99.11,0.0002,-99.95
Zen Protocol,0.7362,0.1891,- 29.54,- 80.81,N/A,3.50 MM,28.84 K,256560,6,8.00,1.17,-83.86,0.0002,-85.78
Smartshare,0.0048,0.0008,38.50,- 79.43,N/A,3.49 MM,1.59 MM,529140,8,17.00,0.0039,-80.60,0.00000058,-84.57
Traceability Chain,0.0091,0.0058,- 30.53,- 83.21,N/A,3.49 MM,194.10 K,26039,5,8.00,0.0091,-36.40,0.00000123,-40.76
BitMart Token,0.0433,0.0261,- 25.66,- 72.49,N/A,3.49 MM,311.77 K,357507,7,8.00,0.0982,-73.39,0.00001415,-76.68
Unibright,0.1951,0.0243,- 26.78,- 93.72,N/A,3.43 MM,699.69 K,181744,9,17.00,0.1475,-83.53,0.00001963,-84.36
TE-FOOD,0.0286,0.0067,- 21.79,- 75.70,N/A,3.40 MM,33.10 K,10183,11,33.00,0.0598,-88.85,0.00000603,-86.07
Gene Source Code Chain,0.0058,0.0092,- 5.56,- 16.92,N/A,3.40 MM,19.79 K,9263,5,17.00,0.0107,-14.41,0.00000222,-47.75
Hiveterminal Token,0.0135,0.0083,- 48.58,- 80.28,N/A,3.40 MM,95.10 K,2740,17,8.00,0.3559,-97.68,0.00002479,-95.80
Counterparty,5.82,1.30,- 24.33,- 72.64,N/A,3.39 MM,44.21 K,12658,60,17.00,85.59,-98.49,0.0219,-99.25
GridCoin,0.0023,0.0081,- 25.97,83.39,N/A,3.39 MM,4.97 K,2488,47,8.00,0.1882,-95.69,0.00003640,-97.20
Dignity,0.0583,0.0064,- 42.76,- 85.54,N/A,3.34 MM,313.64 K,178389,10,25.00,0.2960,-97.84,0.00003141,-97.42
Ice Rock Mining,0.2969,0.2123,- 19.71,- 37.19,N/A,3.34 MM,28.71 K,1735,6,25.00,3.15,-93.26,0.0005,-94.67
Bittwatt,0.0163,0.0111,- 23.86,- 13.89,N/A,3.32 MM,12.37,1270,8,17.00,0.0590,-81.25,0.00000961,-85.43
Omnitude,0.0992,0.0511,- 2.34,- 28.98,N/A,3.31 MM,96.68 K,91192,6,17.00,0.1272,-59.80,0.00002614,-75.33
Haven Protocol,4.28,0.4195,- 54.00,- 94.27,N/A,3.29 MM,524.86 K,335192,9,8.00,4.08,-89.71,0.0005,-90.33
Morpheus Labs,0.0730,0.0160,- 24.85,- 94.83,N/A,3.28 MM,45.31 K,92258,9,25.00,0.0695,-77.03,0.00000810,-75.07
SENSE,0.0560,0.0088,- 25.18,- 95.58,N/A,3.26 MM,956.41,1554,12,25.00,0.0692,-87.22,0.00000715,-84.34
Crown,0.0110,0.1457,- 38.51,743.65,N/A,3.23 MM,17.52 K,16323,51,8.00,4.55,-96.80,0.0007,-97.49
Yee,0.0321,0.0023,- 37.60,- 96.78,N/A,3.20 MM,877.80 K,263254,13,25.00,0.0483,-95.14,0.00000474,-93.67
DAO.Casino,0.1386,0.0191,- 29.59,- 93.93,N/A,3.20 MM,4.93 K,452,19,33.00,0.3329,-94.25,0.0001,-97.99
Bloom,2.15,0.0654,- 47.09,- 98.64,N/A,3.18 MM,49.90 K,46582,13,25.00,1.57,-95.84,0.0001,-94.32
Sentinel,0.0071,0.0016,- 21.43,- 86.93,N/A,3.16 MM,18.32 K,20721,10,17.00,0.0265,-94.05,0.00000276,-92.77
Blackmoon Crypto,0.8631,0.1407,- 22.15,- 84.96,N/A,3.09 MM,250.13 K,66921,17,25.00,2.36,-94.04,0.0002,-91.14
AidCoin,0.7304,0.0676,- 16.51,- 95.39,N/A,3.08 MM,93.82 K,123644,12,42.00,0.5452,-87.61,0.00005581,-84.71
Etheroll,0.8050,0.4341,- 25.65,- 72.77,N/A,3.04 MM,0.00,8383,21,25.00,8.97,-95.16,0.0031,-98.25
Adshares,0.1347,0.1001,- 16.67,- 61.81,N/A,3.04 MM,25.45 K,1204,18,50.00,2.18,-95.41,0.0002,-91.66
Aurora DAO,0.0785,0.0197,- 25.48,- 74.87,N/A,3.01 MM,8.66 K,17406,13,50.00,0.4189,-95.29,0.00004859,-88.25
Nework,0.0653,0.0204,- 39.26,- 94.94,N/A,3.00 MM,505.64 K,84698,12,25.00,0.1332,-84.72,0.00001604,-83.98
Breezecoin,0.5385,0.0664,- 18.78,- 73.96,N/A,3.00 MM,1.10 K,3191,3,0.00,0.7152,-90.71,0.0002,-96.19
Zper,0.0166,0.0024,- 34.21,- 94.29,N/A,2.99 MM,131.52 K,55596,6,0.00,0.0125,-81.07,0.00000182,-83.51
Footballcoin,0.0048,0.0080,- 51.26,- 25.16,N/A,2.99 MM,5.46 K,6347,1,0.00,0.0080,0.00,0.00000128,-21.27
Curecoin,0.7986,0.1234,- 6.75,- 93.79,N/A,2.98 MM,7.24 K,1184,56,33.00,1.18,-89.56,0.0005,-96.73
Ondori,0.00006629,0.00007902,- 19.10,- 68.99,N/A,2.98 MM,10.43,61,4,8.00,0.0001,-40.18,0.00000002,-59.50
Peerplays,11.23,0.6583,- 32.47,- 94.42,N/A,2.96 MM,247.96 K,146906,20,33.00,20.80,-96.84,0.0073,-98.86
Blue Whale Token,0.0009,0.00008948,- 22.64,- 90.15,N/A,2.91 MM,24.10 K,27187,6,0.00,0.0011,-91.77,0.00000017,-82.09
Spectre.ai Utility Token,1.39,0.1182,- 25.92,- 95.65,N/A,2.90 MM,43.48 K,18929,13,33.00,0.8884,-86.70,0.0001,-85.12
Change,0.3939,0.0914,- 12.87,- 82.64,N/A,2.90 MM,14.51 K,16552,16,25.00,1.85,-95.05,0.0001,-90.43
ION,0.2388,0.2047,- 33.30,- 34.10,N/A,2.89 MM,79.63 K,63317,32,17.00,7.12,-97.13,0.0009,-97.19
Vites,0.00001468,0.00007902,5.91,132.10,N/A,2.87 MM,0.4000,94,3,17.00,0.00008633,-8.48,0.00000002,-50.39
LIFE,0.0002,0.0001,- 17.12,- 80.13,N/A,2.87 MM,29.50 K,4882,15,42.00,0.0071,-98.27,0.00000046,-95.68
Liquidity Network,0.2328,0.0660,- 43.21,- 81.60,N/A,2.86 MM,133.34 K,121231,3,0.00,0.2482,-73.39,0.00003798,-78.04
Starta,0.5308,0.5710,- 15.50,- 32.57,N/A,2.85 MM,0.00,3845,19,50.00,2.11,-72.88,0.0003,-73.70
NuShares,0.0049,0.0010,28.67,- 97.91,N/A,2.85 MM,9.05 K,225,51,42.00,0.0225,-95.44,0.00006023,-99.78
Olympus Labs,0.9986,0.0741,- 30.24,- 95.83,N/A,2.85 MM,7.94 K,33934,13,33.00,3.25,-97.72,0.0002,-95.84
Semux,0.5743,0.2682,- 35.78,- 65.22,N/A,2.85 MM,88.96 K,34403,6,17.00,1.07,-74.90,0.0002,-80.08
NeuroChain,0.0246,0.0083,- 36.42,- 83.91,N/A,2.82 MM,3.47 MM,11629,6,8.00,0.0395,-78.91,0.00000543,-80.67
DACSEE,0.0208,0.0037,- 21.52,- 84.74,N/A,2.77 MM,4.71 K,55477,6,17.00,0.0167,-77.95,0.00000263,-82.49
Acute Angle Cloud,0.2033,0.0111,- 36.22,- 98.90,N/A,2.77 MM,7.56 MM,470863,13,17.00,0.2245,-95.06,0.00002350,-94.04
FNKOS,0.1308,0.0197,- 29.94,- 92.12,N/A,2.77 MM,1.67 K,9604,7,8.00,0.1443,-86.32,0.00001790,-86.09
Skrumble Network,0.1010,0.0028,- 18.91,- 97.00,N/A,2.77 MM,1.79 MM,1135557,9,17.00,0.1410,-98.05,0.00001889,-98.15
Noku,0.2856,0.1161,- 13.51,- 71.00,N/A,2.76 MM,15.06 K,10299,6,0.00,0.4103,-71.70,0.00005836,-74.88
Kambria,0.0298,0.0022,- 36.46,- 83.54,N/A,2.75 MM,186.97 K,194559,2,0.00,0.0310,-92.78,0.00000832,-96.64
Experience Points,0.00000599,0.00000993,- 11.64,68.17,N/A,2.73 MM,7.45 K,6720,29,8.00,0.0053,-99.81,0.00000033,-100.00
CoinPoker,0.1022,0.0085,- 41.53,- 98.20,N/A,2.73 MM,634.89 K,8430,11,17.00,0.1388,-93.91,0.00001675,-93.61
Xaurum,53.00,0.0310,- 1.15,- 99.93,N/A,2.69 MM,14.65 K,10157,46,42.00,1533.96,-100.00,2.70,-100.00
DAEX,0.1746,0.0076,- 30.70,- 97.08,N/A,2.69 MM,2.08 MM,966819,9,17.00,0.1788,-95.76,0.00002094,-95.41
Observer,0.0024,0.0020,- 29.22,34.60,N/A,2.69 MM,293.71 K,112064,1,0.00,0.0040,-50.17,0.00000112,-77.64
Vexanium,0.0293,0.0050,35.56,- 37.00,N/A,2.68 MM,209.70 K,233066,6,8.00,0.0414,-87.90,0.00000817,-92.29
Kleros,0.0071,0.0117,- 16.05,- 24.90,N/A,2.65 MM,2.26 K,2912,3,8.00,0.0117,0.00,0.00000256,-42.12
nOS,0.0385,0.0258,- 17.01,- 11.93,N/A,2.64 MM,337.72 K,132584,2,8.00,0.0636,-59.46,0.00001527,-78.65
WeShow Token,0.0762,0.0164,- 44.37,- 85.58,N/A,2.62 MM,66.61 K,136059,3,0.00,0.0688,-76.22,0.00001629,-87.29
Neurotoken,0.5731,0.0331,- 20.05,- 95.59,N/A,2.61 MM,13.23 K,20675,12,25.00,0.6905,-95.21,0.00007521,-94.44
ALAX,0.0274,0.0052,- 34.98,- 93.86,N/A,2.61 MM,299.49,217,7,8.00,0.0319,-83.75,0.00000484,-86.35
CVCoin,0.3503,0.2104,- 22.13,- 66.02,N/A,2.61 MM,650.37 K,144974,19,33.00,3.33,-93.69,0.0003,-91.56
AC3,0.4120,0.0053,- 63.60,- 99.61,N/A,2.59 MM,2.42 K,154,9,8.00,0.3770,-98.60,0.00004535,-98.52
Nebula AI,0.0136,0.0022,- 17.27,- 93.13,N/A,2.55 MM,2.57 K,1438,9,8.00,0.0197,-88.86,0.00000211,-86.70
OKCash,0.0002,0.0341,- 24.51,7159.41,N/A,2.54 MM,472.83 K,90506,50,8.00,0.7367,-95.38,0.0002,-97.63
Proxeus,0.2549,0.0125,- 7.81,- 99.23,N/A,2.54 MM,4.36 K,51,9,17.00,0.1921,-93.50,0.00002137,-92.61
SophiaTX,0.4168,0.0077,- 31.29,- 94.81,N/A,2.52 MM,46.89 K,93733,13,25.00,1.54,-99.50,0.0001,-99.15
Rapids,0.00001884,0.0003,- 10.79,451.50,N/A,2.52 MM,15.49 K,2132,4,17.00,0.0012,-79.69,0.00000030,-90.05
Nexty,0.00009369,0.00001640,- 44.74,- 80.02,N/A,2.48 MM,23.23 K,7277,9,17.00,0.0008,-97.98,0.00000013,-100.00
TrueFlip,1.31,0.3963,- 20.32,- 85.06,N/A,2.48 MM,70.44 K,56596,17,25.00,5.35,-92.60,0.0004,-86.17
Soarcoin,0.0101,0.0023,- 36.73,- 83.69,N/A,2.48 MM,260.63,815,22,33.00,0.0634,-96.39,0.00002488,-98.83
SolarCoin,0.0102,0.0471,- 23.77,125.99,N/A,2.47 MM,11.89 K,2792,58,8.00,2.40,-98.04,0.0003,-98.25
XEL,0.7787,0.0269,- 25.28,- 96.41,N/A,2.47 MM,56.17 K,30397,19,33.00,1.04,-97.40,0.0002,-98.58
AsiaCoin,0.0054,0.0011,- 22.67,- 80.51,N/A,2.46 MM,0.00,3,58,17.00,0.0423,-97.49,0.00001892,-98.36
AMLT Token,0.0744,0.0103,- 7.34,- 82.20,N/A,2.43 MM,2.86 K,883,10,33.00,0.0734,-85.93,0.00001460,-91.10
Flash,0.0131,0.0027,11.29,- 46.32,N/A,2.42 MM,1.12 K,3015,19,8.00,0.2003,-98.66,0.00001288,-97.36
AI Doctor,0.2311,0.0054,- 32.19,- 98.66,N/A,2.41 MM,537.21 K,661847,13,17.00,0.1723,-96.84,0.00001542,-95.52
Zeusshield,0.0339,0.0021,- 26.70,- 96.15,N/A,2.40 MM,253.03 K,32548,16,25.00,0.0855,-97.56,0.00000854,-96.96
Moneytoken,0.0030,0.0003,- 26.68,- 86.89,N/A,2.40 MM,44.39 K,44364,5,8.00,0.0021,-87.85,0.00000032,-90.72
ShipChain,0.2912,0.0101,- 28.53,- 98.40,N/A,2.39 MM,1.21 K,756,11,25.00,0.2284,-95.56,0.00002481,-94.84
Phantasma,0.5668,0.0410,- 38.14,- 96.08,N/A,2.39 MM,308.14 K,148962,8,8.00,0.5990,-93.16,0.00007761,-93.34
Medicalchain,0.3185,0.0086,- 39.70,- 98.55,N/A,2.39 MM,723.42 K,450362,12,17.00,0.3545,-97.57,0.00003885,-97.19
Plus-Coin,0.0023,0.0043,- 72.69,19.41,N/A,2.38 MM,4.48 K,5627,1,8.00,0.0057,-24.19,0.00000142,-61.19
DNotes,0.0005,0.0175,- 19.26,2108.60,N/A,2.36 MM,168.70 K,68499,59,17.00,2.56,-99.32,0.0003,-99.16
Playgroundz,0.4158,0.0822,- 23.10,- 66.36,N/A,2.35 MM,2.24 K,26228,5,8.00,0.4628,-82.23,0.00007252,-85.69
Switcheo,0.0122,0.0045,- 27.40,- 72.71,N/A,2.34 MM,41.16 K,11030,10,17.00,0.0732,-93.87,0.00000831,-93.14
Lisk Machine Learning,0.0946,0.0195,- 45.25,6.83,N/A,2.34 MM,2.09 K,11140,2,8.00,0.1281,-84.76,0.00003325,-92.57
RightMesh,0.1093,0.0381,- 27.96,- 74.44,N/A,2.34 MM,64.58 K,42888,6,8.00,0.1277,-70.16,0.00002014,-76.11
Dynamic,0.4387,0.1658,- 29.94,- 43.25,N/A,2.33 MM,116.64 K,25839,22,17.00,7.02,-97.64,0.0009,-97.62
Internxt,1.74,3.68,- 34.87,- 49.12,N/A,2.32 MM,48.12 K,20379,16,42.00,33.24,-88.92,0.0036,-87.24
NewYorkCoin,0.00000431,0.00001730,- 11.25,78.92,N/A,2.32 MM,1.94 K,1379,57,33.00,0.0010,-98.21,0.00000006,-100.00
Chronobank,12.89,3.25,- 21.17,- 85.15,N/A,2.31 MM,157.34 K,79801,23,33.00,49.41,-93.43,0.0129,-96.81
ugChain,0.1521,0.0040,- 26.25,- 98.50,N/A,2.29 MM,214.29 K,104731,13,25.00,0.1896,-97.88,0.00001673,-96.95
Tolar,0.0139,0.0093,- 34.63,- 70.82,N/A,2.29 MM,421.32 K,266712,4,8.00,0.0193,-51.62,0.00000299,-60.58
Eligma Token,0.0188,0.0162,- 13.98,- 60.59,N/A,2.26 MM,322.14 K,109564,6,17.00,0.0503,-67.75,0.00000725,-71.71
Distributed Credit Chain,0.0297,0.0008,- 37.84,- 96.43,N/A,2.26 MM,4.75 K,98280,7,0.00,0.0357,-97.90,0.00000532,-98.31
Digital Asset Guarantee Token,0.0828,0.0980,- 14.77,- 60.35,N/A,2.26 MM,1.22 MM,341369,4,8.00,0.0980,0.00,0.00001493,-17.07
RevolutionVR,0.6781,0.0107,- 27.91,- 98.29,N/A,2.26 MM,90.39 K,42458,34,8.00,0.7911,-98.64,0.0007,-99.79
Olive,0.0130,0.0081,- 44.42,- 92.01,N/A,2.25 MM,0.00,4818,6,17.00,0.0222,-63.46,0.00000604,-82.95
Winding Tree,0.1815,0.1051,- 23.09,- 27.86,N/A,2.25 MM,1.47 K,696,6,25.00,0.5820,-81.93,0.00009278,-85.70
Alis,0.1431,0.0573,- 33.31,- 88.87,N/A,2.24 MM,1.37 K,2329,16,25.00,1.25,-95.42,0.0001,-93.21
Paypex,0.3580,0.0326,- 32.99,- 96.28,N/A,2.23 MM,41.50 K,18347,15,25.00,2.54,-98.72,0.0003,-98.65
Peculium,0.0043,0.0011,3.41,- 71.50,N/A,2.22 MM,57.24 K,81500,10,25.00,0.0071,-84.62,0.00000101,-86.18
Merculet,0.0097,0.0007,- 43.97,- 98.37,N/A,2.22 MM,399.30 K,117235,8,8.00,0.0161,-95.34,0.00000251,-96.42
XinFin Network,0.0029,0.0006,- 28.90,- 81.97,N/A,2.21 MM,670.97 K,175924,10,17.00,0.0154,-96.31,0.00000176,-96.03
ZMINE,0.0581,0.0166,- 26.67,- 87.08,N/A,2.20 MM,45.48 K,4235,6,0.00,0.0502,-66.86,0.00000793,-73.51
Mysterium,2.45,0.0929,- 16.48,- 98.12,N/A,2.20 MM,862.94,453,20,33.00,4.17,-97.77,0.0009,-98.71
Howdoo,0.0244,0.0131,N/A,- 76.21,N/A,2.19 MM,5.60 K,39802,3,8.00,0.0301,-56.48,0.00000690,-76.09
UpToken,0.4195,0.0149,- 20.78,- 94.90,N/A,2.19 MM,46.20 K,301726,11,17.00,0.3154,-95.26,0.00003992,-95.27
Cloudbric,0.0060,0.0055,- 18.80,- 33.06,N/A,2.18 MM,356.74 K,261798,0,0.00,0.0061,-9.30,0.00000175,-60.10
Oxycoin,0.1967,0.0023,- 32.16,- 99.26,N/A,2.15 MM,60.29 K,251,15,33.00,0.3449,-99.33,0.00002630,-98.90
SUQA,0.0073,0.0034,- 46.27,- 81.45,N/A,2.15 MM,8.54 K,12890,3,8.00,0.0104,-66.95,0.00000187,-76.52
STK,0.3146,0.0062,- 40.30,- 99.23,N/A,2.15 MM,63.35 K,132259,12,8.00,0.2272,-97.25,0.00002533,-96.88
COBINHOOD,0.0404,0.0052,- 30.07,- 78.29,N/A,2.14 MM,26.79 K,13581,16,25.00,1.42,-99.63,0.00009903,-99.33
Privatix,3.23,1.96,- 2.96,- 73.96,N/A,2.14 MM,2.14 K,1610,15,33.00,18.99,-89.68,0.0013,-81.33
Eden,0.0355,0.0036,- 41.65,- 90.98,N/A,2.14 MM,282.52 K,158961,5,8.00,0.0365,-90.24,0.00000551,-91.83
Decision Token,0.2951,0.0665,- 31.61,- 85.35,N/A,2.13 MM,71.60 K,38048,15,25.00,5.50,-98.79,0.0004,-97.67
Hi Mutual Society,0.1618,0.0052,- 24.53,- 96.21,N/A,2.10 MM,85.74 K,97554,12,8.00,0.1041,-95.02,0.00000963,-93.25
Bitdice,0.1105,0.0299,- 19.07,- 72.13,N/A,2.09 MM,244.96,819,16,42.00,0.5069,-94.10,0.00004698,-91.95
ATC Coin,0.0867,0.0066,17.74,- 72.65,N/A,2.09 MM,9.99 K,224044,19,25.00,1.79,-99.63,0.0004,-99.80
YEED,0.0021,0.0004,- 34.78,- 83.54,N/A,2.09 MM,204.67 K,104531,4,0.00,0.0017,-77.52,0.00000027,-81.37
MonetaryUnit,0.0003,0.0132,- 28.81,3855.89,N/A,2.09 MM,16.23 K,36906,51,25.00,0.4966,-97.35,0.00005286,-96.86
HorusPay,0.0203,0.0024,- 55.16,- 93.88,N/A,2.08 MM,565.14,306,6,0.00,0.0391,-93.90,0.00000583,-94.86
Constellation,0.0324,0.0020,- 38.82,- 95.64,N/A,2.08 MM,161.84 K,49399,8,8.00,0.0302,-93.36,0.00000456,-94.52
HashCoin,0.0025,0.0002,- 33.72,- 96.14,N/A,2.07 MM,48.29 K,7281,7,0.00,0.0026,-93.74,0.00000037,-94.54
aXpire,0.2573,0.0073,- 26.63,- 97.58,N/A,2.07 MM,243.36 K,79905,12,25.00,0.0884,-91.77,0.00000978,-90.59
