Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Avg. volume,Age (mo),Winning months,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
True USD,0.9985,1.00,0.3059,1.46,N/A,237.23 MM,390.53 MM,53156036,11,50.00,1.30,-22.81,0.0003,-60.32
Ravencoin,0.0265,0.0583,- 38.38,- 62.55,N/A,207.23 MM,52.58 MM,2971787,11,42.00,0.0657,-11.27,0.00001021,-27.84
Bytecoin,0.00006530,0.0011,- 25.41,777.82,N/A,207.16 MM,478.23 K,120332,56,25.00,0.0154,-92.70,0.00000198,-92.93
0x,0.1117,0.3399,- 32.31,110.28,N/A,199.98 MM,43.39 MM,9011342,18,25.00,2.37,-85.67,0.0002,-79.58
BitShares,0.0132,0.0718,- 27.98,180.21,N/A,195.16 MM,25.80 MM,3545431,55,33.00,0.8746,-91.79,0.0002,-94.41
Holo,0.0007,0.0014,5.41,72.64,N/A,192.06 MM,24.29 MM,10859451,9,50.00,0.0019,-25.53,0.00000046,-60.88
Bitcoin Diamond,61.71,1.03,- 27.04,- 98.89,N/A,191.49 MM,6.20 MM,1496384,14,33.00,68.83,-98.51,0.0059,-97.81
ICON,0.4089,0.3897,- 33.58,- 54.14,N/A,184.47 MM,21.57 MM,5732564,15,17.00,12.11,-96.78,0.0009,-94.34
Paxos Standard Token,0.9977,1.00,0.5086,0.6369,N/A,184.28 MM,192.56 MM,74878959,4,17.00,1.10,-8.88,0.0003,-60.02
BitTorrent,0.0005,0.0009,- 0.14,82.61,N/A,182.69 MM,94.64 MM,116440594,0,0.00,0.0013,-31.11,0.00000036,-69.49
Verge,0.00000701,0.0108,- 25.14,82087.07,N/A,173.65 MM,23.55 MM,2428588,51,33.00,0.2315,-95.32,0.00001725,-92.06
Zilliqa,0.1368,0.0187,- 20.69,- 87.28,N/A,162.16 MM,38.54 MM,14882924,12,33.00,0.2008,-90.70,0.00002195,-89.25
