Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Age (mo),Winning months,Avg. volume,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
Xaurum,53.00,0.0392,4.75,- 99.93,3221208,3.01 MM,15.21 K,13640,55,42.00,1533.96,-100.00,2.70,-100.00
IPChain,0.8479,0.0379,- 57.97,- 95.82,4050774,3.01 MM,87.06 K,210600,22,33.00,1.53,-97.53,0.0002,-96.77
Lykke,0.0479,0.0095,- 4.71,- 82.10,2859321,3.00 MM,0.00,0,37,25.00,0.4163,-97.73,0.0002,-99.24
IntelliShare,0.0235,0.0140,- 25.04,- 41.83,3827446,2.99 MM,158.57 K,490117,8,25.00,0.0785,-82.23,0.00000820,-77.19
ContentBox,0.0412,0.0032,- 22.44,- 91.72,4251218,2.95 MM,18.76 K,130854,17,42.00,0.0385,-91.72,0.00000492,-91.26
Ubiq,0.0290,0.0689,- 11.58,137.81,3309409,2.93 MM,2.62 K,2418,63,33.00,6.77,-98.98,0.0009,-98.99
NuShares,0.0049,0.0011,11.72,- 85.24,1998463,2.93 MM,72.73,368,61,50.00,0.0225,-95.32,0.00006023,-99.77
DATA,0.0201,0.0003,- 22.51,- 98.57,3416763,2.92 MM,72.20 K,200466,22,33.00,0.0404,-99.28,0.00000363,-98.90
Linkey,0.7775,0.0581,- 29.45,- 92.52,2927090,2.91 MM,0.00,9,16,42.00,1.10,-94.70,0.0003,-96.98
BlockMason Credit Protocol,0.1811,0.0249,- 5.25,- 86.20,3221196,2.89 MM,75.21 K,259400,26,33.00,2.23,-98.89,0.0001,-97.76
Aeon,0.0094,0.1821,- 33.49,1845.64,3464278,2.88 MM,2.52 K,1676,52,42.00,8.99,-97.97,0.0007,-96.34
QunQun,0.1019,0.0044,- 21.45,- 95.77,3778617,2.88 MM,770.47 K,1208577,23,42.00,0.1340,-96.72,0.00001088,-94.58
XcelToken Plus,0.0076,0.0005,59.39,- 92.81,4453048,2.86 MM,240.29,40287,2,8.00,0.0082,-94.41,0.00000086,-93.02
TouchCon,0.0036,0.0123,93.90,215.46,2030495,2.86 MM,2.56 K,20467,6,25.00,0.0312,-60.64,0.00000416,-60.34
Blockium,0.0013,0.0044,5.50,231.33,445387,2.86 MM,0.00,374596,4,8.00,0.0177,-75.20,0.00000240,-75.41
Ondori,0.00006632,0.00007444,- 11.78,10.17,3101238,2.81 MM,185.73,204,14,50.00,0.0001,-43.33,0.00000002,-59.41
ZelCash,0.0265,0.0329,- 27.33,34.47,3829975,2.80 MM,2.89 MM,3449265,16,42.00,0.2437,-86.49,0.00004787,-90.77
AppCoins,2.45,0.0279,- 7.75,- 98.81,3316473,2.80 MM,65.96 K,138405,23,42.00,2.41,-98.84,0.0002,-97.80
Edge,0.4792,0.0394,- 20.76,- 92.51,3204297,2.78 MM,2.73 K,13142,21,33.00,0.4498,-91.24,0.00003911,-86.47
Pundi X NEM,0.0019,0.0001,- 30.73,- 93.13,2885536,2.75 MM,408.78 K,394586,16,50.00,0.0037,-96.41,0.00000056,-96.45
AMO Coin,0.0016,0.0002,- 19.81,- 87.30,3070113,2.75 MM,71.70 K,1450016,15,25.00,0.0026,-92.18,0.00000054,-94.43
Vites,0.00001470,0.00007444,- 12.18,397.10,3064966,2.74 MM,0.00,0.0714,13,83.00,0.0001,-43.03,0.00000002,-50.02
1World,0.3839,0.1194,78.56,- 69.98,2689739,2.74 MM,60.22,1561,20,42.00,0.7109,-83.21,0.00009500,-83.13
Hubii Network,0.1105,0.1770,- 27.32,60.17,2956948,2.74 MM,0.00,864,26,42.00,1.73,-89.78,0.0002,-85.39
DEX,0.0701,0.0143,- 49.91,- 82.12,3309824,2.74 MM,641.27 K,1852636,13,50.00,0.7055,-97.97,0.0001,-98.53
BlackCoin,0.0115,0.0450,- 17.97,253.60,4312296,2.73 MM,18.47 K,21380,69,42.00,1.11,-95.93,0.0006,-98.92
Feathercoin,0.4657,0.0104,- 11.56,- 97.76,2718995,2.71 MM,3.52 K,6519,79,25.00,1.29,-99.19,0.0019,-99.93
Bitcore BTX,6.60,0.1551,- 19.05,- 97.53,3110824,2.71 MM,2.04 K,1119,31,42.00,38.90,-99.60,0.0047,-99.56
Krios,0.0259,0.0152,- 11.69,- 42.07,3250021,2.71 MM,51.22 K,59302,6,25.00,0.0452,-66.40,0.00000423,-51.82
CWV Chain,0.0061,0.0008,- 19.04,- 86.79,5134293,2.69 MM,295.57 K,626731,13,33.00,0.0111,-93.14,0.00000268,-96.27
Remme,0.0278,0.0041,7.81,- 84.85,2276343,2.69 MM,275.87 K,175288,21,50.00,0.0331,-87.66,0.00000324,-83.00
OneRoot Network,0.1369,0.0095,- 23.91,- 93.07,3033082,2.69 MM,2.58 MM,9547266,23,8.00,0.1512,-93.74,0.00003791,-96.65
Amoveo,66.06,39.04,- 9.78,- 11.53,4880845,2.64 MM,3.12 K,142,10,42.00,167.10,-76.64,0.0402,-86.97
Ether Zero,0.4559,0.0158,- 21.28,- 96.30,3678395,2.63 MM,210.16 K,382612,18,50.00,0.4024,-96.07,0.00005983,-96.46
Blockstamp,0.9118,0.0998,13.27,- 89.10,2490445,2.61 MM,106.15 K,224320,6,17.00,1.41,-92.94,0.0001,-90.32
ZIP,0.0023,0.0002,- 31.72,- 94.63,3148769,2.60 MM,7.70 MM,3900408,18,42.00,0.0082,-98.05,0.00000125,-98.40
XYO,0.0075,0.0003,- 14.04,- 95.84,2802236,2.59 MM,3.85 K,10987,18,25.00,0.0061,-94.91,0.00000170,-97.65
BitMart Token,0.0434,0.0150,- 23.61,- 67.00,3397984,2.59 MM,293.20 K,4653455,17,33.00,0.1815,-91.71,0.00001958,-89.68
Endor Protocol,0.2507,0.0031,- 17.39,- 98.75,2891458,2.58 MM,1.22 MM,1609496,18,17.00,0.1700,-98.17,0.00002713,-98.45
Rublix,0.1546,0.1233,- 19.55,- 20.49,2868537,2.56 MM,12.20 K,10456,19,25.00,0.4289,-71.26,0.00007941,-79.16
OneLedger,0.0420,0.0071,- 27.39,- 86.49,2513847,2.56 MM,534.83 K,496689,17,58.00,0.0552,-87.07,0.00000749,-87.19
Artfinity,0.0466,0.0200,- 24.64,- 58.90,2934743,2.56 MM,7.89 MM,16409804,7,8.00,0.0982,-79.64,0.00001228,-78.09
TE-FOOD,0.0286,0.0049,5.55,- 82.95,2129063,2.55 MM,4.82 K,4840,21,50.00,0.0598,-91.78,0.00000603,-89.06
PAC Global,0.00000001,0.0003,20.58,2152202.21,3610081,2.53 MM,56.26 K,70363,49,33.00,0.0150,-97.77,0.00000161,-97.52
Veil,0.2264,0.0522,- 16.62,- 77.92,3443484,2.53 MM,67.19 K,96279,8,25.00,0.4990,-89.54,0.00009179,-92.36
LBRY Credits,0.6462,0.0088,- 12.88,- 98.60,2426345,2.53 MM,10.31 K,24529,41,42.00,1.85,-99.53,0.0028,-99.96
Constant,1.02,49.84,0.00,4763.90,2527029,2.53 MM,0.00,0,9,50.00,138.91,-64.12,0.0119,-43.89
INLOCK,0.0035,0.0023,2.71,- 33.79,2032132,2.52 MM,26.10 K,31624,1,0.00,0.0036,-36.61,0.00000041,-25.12
MVL,0.0052,0.0003,- 8.70,- 94.10,2300061,2.50 MM,97.12 K,118488,16,42.00,0.0062,-94.70,0.00000088,-95.44
Game.com,0.1433,0.0033,- 15.16,- 97.67,2852546,2.50 MM,655.36 K,1145141,23,42.00,0.4524,-99.28,0.00005118,-99.14
Callisto Network,0.0239,0.0008,- 12.00,- 96.84,2118515,1.71 MM,3.36 K,116475,18,33.00,0.0642,-98.78,0.00000833,-98.68
Cryptaur,0.0037,0.0001,- 35.89,- 96.01,1696298,1.71 MM,2.61 K,9947,18,25.00,0.0045,-96.86,0.00000068,-97.06
Quanta Utility Token,0.0004,0.00005827,- 17.22,- 85.49,1879771,1.71 MM,369.58,2025,15,33.00,0.0009,-93.69,0.00000014,-92.89
Chromia,0.1019,0.0141,- 28.48,- 85.92,2345330,1.70 MM,772.70 K,12584427,6,0.00,0.1103,-87.24,0.00001405,-86.55
Nimiq,1.03,0.0003,- 26.24,- 99.97,2213066,1.70 MM,87.04 K,108541,29,33.00,7.83,-100.00,0.0005,-99.99
Spendcoin,1.62,0.0018,- 16.79,- 99.88,2597813,1.69 MM,286.55 K,9560551,14,17.00,2.17,-99.92,0.0005,-99.95
PlatonCoin,0.1614,0.2894,74.03,36.39,1536330,1.68 MM,99.29 K,104237,9,33.00,0.5106,-43.32,0.00009640,-59.69
SDChain,0.0041,0.0011,- 12.86,- 71.04,1894327,1.68 MM,58.29 K,66071,10,25.00,0.0089,-87.40,0.00000206,-92.71
Kleros,0.0070,0.0071,1.29,6.56,1987522,1.68 MM,1.02 K,2896,13,58.00,0.0198,-63.87,0.00000245,-60.79
Traceability Chain,0.0091,0.0024,- 36.08,- 83.25,2459020,1.66 MM,7.61 K,17271,15,58.00,0.0174,-86.18,0.00000168,-80.90
Tokenpay,1.22,0.1005,- 29.31,- 91.49,1919462,1.66 MM,84.33 K,95119,20,17.00,10.79,-99.07,0.0012,-98.90
Colu Local Network,0.0656,0.0170,5.22,- 74.12,1421389,1.65 MM,0.00,844,18,42.00,0.0631,-73.11,0.00000827,-72.42
Terracoin,0.6508,0.0719,22.32,- 90.68,1069234,1.65 MM,3.98 K,823,79,42.00,1.49,-95.18,0.0043,-99.77
Unibright,0.1951,0.0118,- 3.56,- 93.82,1605571,1.65 MM,89.73 K,80763,18,33.00,0.1475,-92.00,0.00001963,-91.95
3DCoin,0.0352,0.0237,- 76.28,- 18.39,1471921,1.64 MM,1.16 K,1201,2,8.00,0.0296,-19.75,0.00000409,-21.96
Bitsdaq,0.0084,0.0006,- 40.43,- 92.38,2337315,1.63 MM,13.66 K,25587,6,17.00,0.0096,-93.65,0.00000096,-91.68
Atlant,0.4160,0.0301,22.18,- 92.65,2240372,1.63 MM,172.01,1110,25,33.00,2.67,-98.87,0.0002,-97.85
Winding Tree,0.1815,0.0755,- 7.10,- 55.35,2036611,1.61 MM,350.41,497,16,42.00,0.5522,-86.33,0.00008805,-88.48
Turtlecoin,0.00003399,0.00002669,- 12.32,- 26.53,1689430,1.60 MM,681.27 K,998316,16,25.00,0.0007,-96.31,0.00000014,-100.00
HBZ Coin,0.0109,0.0016,62.69,- 86.66,1783244,1.60 MM,19.65 K,28104,19,42.00,0.0325,-94.97,0.00000339,-93.52
OKCash,0.0002,0.0212,- 24.02,10431.46,1864181,1.59 MM,3.23 K,1939,60,42.00,0.7367,-97.12,0.0002,-98.43
1SG,0.7095,0.7273,0.0175,1.75,1583839,1.59 MM,1.94 MM,4525865,9,42.00,0.8140,-10.64,0.0002,-50.53
NeoWorld Cash,0.0001,0.00007283,- 19.79,- 32.26,1753656,1.58 MM,149.91 K,3374735,8,17.00,0.0003,-76.24,0.00000005,-81.00
Lending Block,0.0278,0.0020,- 33.10,- 91.92,1998525,1.57 MM,126.81 K,158181,19,42.00,0.0309,-93.42,0.00000356,-92.41
Content Neutrality Network,0.0026,0.00004017,- 31.66,- 98.35,2362338,1.57 MM,57.82 K,217986,19,25.00,0.0036,-98.87,0.00000053,-98.10
Smartlands,0.1908,0.3072,- 24.60,56.26,1954621,1.57 MM,0.00,29,22,33.00,6.56,-95.32,0.0015,-97.33
Qitmeer,0.4729,0.0040,- 19.20,- 99.24,2027744,1.56 MM,36.45 K,48011,22,42.00,0.4256,-99.06,0.00004799,-98.87
Substratum,0.0483,0.0041,- 35.39,- 90.52,1934145,1.56 MM,369.70,5306,26,33.00,2.88,-99.86,0.0002,-99.72
Lisk Machine Learning,0.0914,0.0130,29.73,- 88.67,1349991,1.56 MM,28.94,631,12,17.00,0.1280,-89.86,0.00003319,-94.76
ATC Coin,0.0867,0.0042,- 11.90,- 95.35,1716792,1.56 MM,36.82 K,9242,29,33.00,1.79,-99.77,0.0004,-99.87
TrueFlip,1.31,0.2483,12.57,- 78.83,1486430,1.55 MM,77.34 K,33198,27,50.00,5.35,-95.36,0.0004,-90.78
DACSEE,0.0208,0.0021,3.45,- 90.13,1594107,1.55 MM,0.00,74,16,50.00,0.0167,-87.69,0.00000262,-89.32
ALQO,0.1429,0.0239,18.44,- 86.96,1296897,1.54 MM,296.38,786,24,33.00,3.11,-99.23,0.0002,-98.70
HoryouToken,0.0067,0.0014,- 49.87,- 90.26,1712988,1.54 MM,0.00,526,7,17.00,0.0097,-85.49,0.00000118,-83.93
Omnitude,0.1009,0.0237,- 33.49,- 79.99,2182639,1.54 MM,3.52 MM,6130374,16,33.00,0.3245,-92.69,0.00003787,-91.58
Unikoin Gold,0.3183,0.0105,- 19.47,- 96.64,1915775,1.53 MM,552.75,2869,25,25.00,2.18,-99.52,0.0001,-98.96
Cryptopay,0.1866,0.0224,7.93,- 88.09,1552801,1.53 MM,165.11,1035,23,42.00,0.3258,-93.13,0.00002206,-86.40
Myriad,0.0047,0.0009,- 4.83,- 82.64,1470356,1.53 MM,2.71 K,1879,69,42.00,0.0531,-98.32,0.00001000,-98.80
CanYaCoin,4.11,0.0165,- 6.91,- 99.59,1001598,1.52 MM,9.55 K,2322,23,33.00,2.06,-99.20,0.0002,-98.67
HTMLCOIN,0.0006,0.00002865,- 11.20,- 95.42,1445806,1.52 MM,2.30 K,2175,23,42.00,0.0061,-99.53,0.00000037,-100.00
Proxeus,0.2549,0.0075,59.53,- 97.10,1475816,1.51 MM,0.00,66,19,33.00,0.1921,-96.12,0.00002137,-95.32
Maecenas,0.3418,0.0259,- 16.88,- 93.23,1639289,1.51 MM,283.29,1579,26,50.00,2.19,-98.82,0.0002,-97.79
BrickBlock,0.0467,0.0201,- 3.82,- 56.95,2131169,1.51 MM,13.47 K,19919,16,50.00,0.1850,-89.15,0.00002862,-90.57
ImageCoin,0.7198,0.0998,- 30.82,- 84.17,2078753,1.51 MM,725.25 K,1051298,4,0.00,0.6019,-83.42,0.00006263,-78.60
YEED,0.0021,0.0003,- 20.03,- 87.08,2014226,1.50 MM,51.39 K,62286,13,42.00,0.0017,-83.55,0.00000026,-84.59
Futurepia,0.0143,0.0017,- 37.70,- 88.47,2355944,1.50 MM,1.74 K,7298,5,8.00,0.0127,-86.81,0.00000128,-82.80
Alis,0.1431,0.0380,- 3.62,- 73.91,1611066,1.50 MM,0.00,17,26,42.00,1.25,-96.96,0.0001,-95.20
CoinPoker,0.1022,0.0051,- 19.38,- 95.13,1187281,1.49 MM,6.94 K,9738,21,33.00,0.1388,-96.31,0.00001675,-95.88
Cryptocean,0.1263,0.2297,28.91,84.44,2626349,1.49 MM,58.68 K,87241,3,17.00,1.39,-83.48,0.0002,-81.25
BitNewChain,0.0574,0.0083,- 16.85,- 85.88,2053772,1.49 MM,0.0100,21,15,58.00,0.0907,-90.88,0.00001694,-93.45
bitUSD,1.01,0.5219,- 15.53,- 25.31,2222759,1.49 MM,0.1900,366,62,25.00,34.29,-98.48,0.0057,-98.77
carVertical,0.0143,0.0002,- 7.98,- 98.64,1543435,1.48 MM,17.68 K,44594,22,42.00,0.0112,-98.27,0.00000119,-97.48
LikeCoin,0.0086,0.0031,- 1.08,- 65.29,1385421,1.48 MM,39.78,147,17,42.00,0.0090,-65.07,0.00000129,-67.32
GMB,0.0027,0.0028,8.12,14.94,1417880,1.47 MM,3.69 K,5056,9,33.00,0.0069,-59.14,0.00000178,-78.68
DECOIN,0.0389,0.0564,- 8.27,- 24.00,854476,1.47 MM,9.33 K,12452,3,0.00,0.1505,-62.50,0.00001475,-48.60
Insureum,0.0580,0.0068,8.28,- 84.94,1507003,1.46 MM,274.42 K,155833,14,42.00,0.0457,-85.07,0.00000708,-87.01
Kryll,0.0813,0.0568,- 2.99,- 32.38,1395795,1.45 MM,0.00,5922,17,50.00,0.1290,-55.94,0.00003274,-76.69
X-Cash,0.00002493,0.00002923,- 11.99,18.12,1990294,1.44 MM,5.75 K,6122,14,58.00,0.0001,-73.95,0.00000001,-100.00
TEMCO,0.0023,0.0005,- 29.91,- 76.80,2194127,1.43 MM,39.39 K,102634,10,25.00,0.0065,-93.02,0.00000160,-96.25
MobileGo,2.45,0.0143,- 16.08,- 99.40,1279415,1.43 MM,734.58 K,675794,30,17.00,2.55,-99.44,0.0009,-99.80
Global Digital Content,0.0036,0.0008,0.00,- 60.80,1647698,1.43 MM,20.22 K,1723,N/A,8.00,0.0049,-83.82,0.00000056,-80.45
Ecobit,0.0367,0.0032,9.22,- 86.22,2528868,1.42 MM,16.04,3,29,50.00,0.1463,-97.81,0.00001470,-97.08
Ampleforth,2.00,1.00,30.04,- 52.21,1121880,1.42 MM,1.24 MM,943737,5,8.00,1.67,-39.75,0.0002,-21.23
NAGA,1.54,0.0196,1.88,- 98.74,1553402,1.41 MM,1.48 K,1474,23,25.00,4.24,-99.54,0.0003,-99.20
ShipChain,0.2912,0.0054,14.31,- 97.59,2066438,1.40 MM,27.36,247,21,58.00,0.2284,-97.65,0.00002481,-97.10
Apex,0.1610,0.0029,- 20.44,- 98.25,1680780,1.40 MM,33.22 K,92351,20,33.00,0.3318,-99.11,0.00003435,-98.86
BitGreen,4.42,0.1419,- 7.19,- 96.74,1197991,1.40 MM,8.80 K,6852,20,33.00,11.07,-98.72,0.0011,-98.34
MenaPay,0.0451,0.0139,- 35.22,- 70.49,2176241,1.40 MM,356.15 K,292204,6,17.00,0.1084,-87.20,0.00001048,-82.25
Bankex,2.82,0.0053,- 10.16,- 99.83,1341160,1.39 MM,168.12 K,141628,23,33.00,2.17,-99.76,0.0002,-99.62
CashBet Coin,0.2864,0.0086,2.86,- 97.06,1425390,1.39 MM,7.64 K,8658,18,50.00,0.2982,-97.13,0.00004422,-97.40
PCHAIN,0.1705,0.0034,- 17.79,- 97.61,2279622,1.39 MM,179.05 K,10939204,18,42.00,0.2125,-98.40,0.00003150,-98.54
indaHash,0.3616,0.0035,- 30.70,- 99.01,1889245,1.39 MM,253.23,606,22,33.00,0.2523,-98.62,0.00002480,-98.10
IHT Real Estate Protocol,0.1377,0.0014,- 26.70,- 98.98,1995762,1.39 MM,9.18 K,33398,21,42.00,0.4814,-99.71,0.00004257,-99.55
Yee,0.0321,0.0010,- 19.18,- 97.23,1627848,1.38 MM,211.90 K,160588,22,42.00,0.0483,-97.90,0.00000474,-97.05
VegaWallet Token,0.1119,0.0985,- 27.17,- 16.41,1483216,1.38 MM,806.05,1911,10,33.00,0.2443,-59.69,0.00003653,-63.81
Kuai Token,0.1474,0.1416,0.5139,- 4.63,1375232,1.38 MM,4.28 MM,7458734,11,33.00,0.1607,-11.86,0.00004439,-57.15
Own,0.0833,0.0138,- 46.55,- 87.26,1852811,1.38 MM,382.49 K,424567,19,50.00,0.3393,-95.93,0.00008806,-97.90
Quark,0.0004,0.0052,- 19.10,1270.83,1633901,1.37 MM,0.00,3,75,50.00,0.2469,-97.87,0.0003,-99.75
DECENT,0.1102,0.0264,- 17.32,- 76.81,1487367,1.35 MM,2.56 K,1540,36,50.00,17.35,-99.85,0.0066,-99.95
Flowchain,2.56,1.96,- 22.11,- 19.03,1810114,1.35 MM,50.46 K,165140,10,42.00,6.26,-68.70,0.0012,-78.20
0chain,0.4981,0.0337,- 18.79,- 93.43,1675873,1.35 MM,1.65 K,2703,17,50.00,0.5846,-94.23,0.00008717,-94.80
Credo,0.0431,0.0025,- 29.98,- 91.68,3653371,1.35 MM,0.00,0,27,33.00,0.2033,-98.79,0.00003525,-99.06
Wowbit,0.2655,0.0048,- 21.29,- 98.21,1602655,1.34 MM,1.51 K,35549,17,17.00,0.2633,-98.16,0.00004127,-98.42
WeTrust,0.0751,0.0144,- 12.84,- 82.93,1543901,1.33 MM,727.08,1395,31,58.00,1.27,-98.86,0.0002,-98.89
Bismuth,0.5468,0.0966,- 0.23,- 82.20,1598530,1.33 MM,4.05 K,3706,26,17.00,8.82,-98.90,0.0006,-97.96
Effect.AI,0.0682,0.0052,- 8.14,- 91.08,1382134,1.32 MM,5.55,211,19,50.00,0.0754,-93.07,0.00000811,-91.37
Phore,0.2460,0.0680,- 15.49,- 73.21,1678434,1.32 MM,1.20 K,65133,25,33.00,8.72,-99.22,0.0006,-98.51
Tellor,1.25,2.33,- 38.09,69.99,0,1.32 MM,29.38 K,35671,0,0.00,2.33,0.00,0.0003,0.00
SpankChain,0.0313,0.0044,- 11.64,- 86.19,1734071,1.31 MM,250.63,949,24,25.00,0.6338,-99.31,0.00004466,-98.68
Dynamic,0.4387,0.0879,39.90,- 78.85,1570804,1.31 MM,8.40 K,10177,32,42.00,7.02,-98.75,0.0009,-98.66
Vanta Network,0.0011,0.0007,18.00,- 35.10,886504,1.31 MM,30.15 K,116694,8,25.00,0.0016,-54.86,0.00000020,-55.16
Primas,0.3759,0.0247,- 38.61,- 94.28,1720749,1.30 MM,159.09 K,108291,27,58.00,1.16,-97.87,0.0001,-97.62
Bloom,2.15,0.0239,- 24.04,- 99.30,1189222,1.28 MM,0.00,111,23,33.00,1.57,-98.48,0.0001,-97.79
Prometeus,0.3678,0.3322,- 4.80,- 21.52,616229,1.28 MM,357.11 K,66424,5,8.00,0.5159,-35.61,0.00004903,-9.04
Qwertycoin,0.00000392,0.00001191,- 14.45,218.06,1740688,1.26 MM,497.04,2320,7,25.00,0.00006259,-80.97,0.00000001,-100.00
Mysterium,2.45,0.0533,1.28,- 97.97,980608,1.26 MM,696.68,102,30,33.00,4.17,-98.72,0.0009,-99.22
DaTa eXchange,0.0283,0.0164,- 14.25,- 38.55,1655431,1.26 MM,6.49 K,7639,17,50.00,0.0442,-62.99,0.00001063,-79.29
Peculium,0.0043,0.0006,- 7.80,- 85.22,1327467,1.25 MM,36.54 K,32917,20,25.00,0.0071,-91.36,0.00000101,-92.10
Loopring [NEO],2.29,0.0110,- 11.83,- 99.48,1924599,1.25 MM,6.53 K,8815,19,25.00,2.29,-99.52,0.0002,-99.41
Nasdacoin,0.1172,0.0592,- 17.69,- 49.73,1269699,1.24 MM,274.83 K,289208,15,17.00,4.97,-98.81,0.0009,-99.11
LEOcoin,0.3204,0.0057,- 32.82,- 97.86,1188519,1.22 MM,3.37 K,3696,52,33.00,2.15,-99.74,0.0030,-99.97
Fast Access Blockchain,0.0672,0.0428,- 5.91,- 37.16,1467629,1.21 MM,854.48,2788,7,25.00,0.1254,-65.87,0.00001444,-60.17
Friendz,0.0207,0.0023,15.34,- 88.53,1226390,1.21 MM,45.80 K,46918,20,50.00,0.0344,-93.22,0.00000425,-92.71
EBCoin,0.0029,0.0003,- 2.10,- 93.00,1097525,1.20 MM,795.09,1311,16,33.00,0.0047,-94.42,0.00000074,-94.60
Lamden,0.5661,0.0084,5.14,- 97.82,1615974,1.20 MM,22.77 K,10485,23,17.00,0.8641,-99.03,0.00006373,-98.23
Next.exchange,0.2028,0.4327,11.78,89.86,825510,1.19 MM,10.78 K,2473,11,50.00,0.9680,-55.30,0.0002,-63.72
Beaxy,0.0181,0.0070,- 20.47,- 61.05,1133308,1.19 MM,7.78 K,5984,2,8.00,0.0135,-48.29,0.00000162,-42.15
Ink,0.2804,0.0026,- 17.42,- 99.09,1520105,1.19 MM,3.63 K,6723,24,42.00,0.9380,-99.73,0.00005478,-99.38
Fountain,0.0301,0.0133,- 17.96,- 52.92,1274828,1.18 MM,105.71 K,125476,11,42.00,0.0579,-77.10,0.00001394,-87.23
Color Platform,0.0326,0.0086,- 21.18,- 63.10,2045961,1.17 MM,22.25 K,498351,2,0.00,0.0383,-77.64,0.00000459,-74.92
Moneytoken,0.0030,0.0001,- 13.97,- 96.28,1065760,1.17 MM,55.39 K,47952,15,33.00,0.0021,-93.95,0.00000032,-93.67
Rubycoin,0.0020,0.0428,- 19.03,2083.56,1332297,1.17 MM,0.00,0.7143,68,25.00,1.99,-97.85,0.0005,-98.87
Consensus,0.0100,0.0009,19.10,- 91.69,1168951,1.17 MM,19.73 K,29812,20,33.00,0.0527,-98.35,0.00000537,-97.77
NativeCoin,0.0008,0.0525,- 32.25,7156.12,858227,1.17 MM,46.00 K,35934,63,42.00,0.8304,-93.68,0.00009999,-92.96
Skychain,0.2065,0.1560,- 13.23,- 32.53,1557676,1.17 MM,2.32 K,4461,12,58.00,0.3198,-51.21,0.00006735,-68.89
ChatCoin,0.3396,0.0017,- 25.89,- 99.50,1494313,1.17 MM,236.20 K,296062,22,25.00,0.4505,-99.62,0.00004457,-99.48
Proton Token,0.0016,0.0001,- 57.02,- 90.31,1941153,1.16 MM,355.44 K,606901,17,25.00,0.0054,-97.37,0.00000053,-96.25
Switcheo,0.0122,0.0022,- 13.34,- 84.40,1254758,1.15 MM,16.94 K,2775,20,33.00,0.0732,-97.00,0.00000831,-96.51
e-Gulden,0.0162,0.0670,- 5.19,305.77,1175585,1.15 MM,13.33,68,68,50.00,0.5380,-87.55,0.0002,-96.26
Bitcedi,0.0004,0.0004,N/A,- 4.64,1175718,1.14 MM,2.11 K,10213,2,8.00,0.0005,-16.06,0.00000006,-7.65
Neurotoken,0.5731,0.0145,- 1.69,- 97.88,1100447,1.14 MM,447.95,362,21,33.00,0.6905,-97.91,0.00007521,-97.42
Safe Haven,0.0022,0.0004,- 9.40,- 83.78,1284727,1.13 MM,3.58 K,39636,8,17.00,0.0024,-84.19,0.00000046,-89.16
PotCoin,0.0046,0.0051,- 11.05,14.01,1224490,1.13 MM,191.20,532,70,33.00,0.4255,-98.81,0.00006642,-98.98
I/O Coin,0.0538,0.0629,- 20.06,37.97,1209584,1.12 MM,5.18 K,1170,64,42.00,7.26,-99.13,0.0013,-99.33
LIFE,0.0002,0.00004779,21.60,- 67.45,589831,1.12 MM,39.54 K,10985,25,42.00,0.0071,-99.33,0.00000046,-97.84
CryptalDash,0.0105,0.0011,- 32.15,- 89.52,1613930,1.12 MM,6.70,3,14,50.00,0.0252,-95.57,0.00000400,-96.25
ZeuxCoin,0.0252,0.0059,- 34.33,- 73.28,1297615,1.11 MM,46.92 K,51512,4,8.00,0.0401,-85.41,0.00000392,-79.84
GridCoin,0.0023,0.0026,- 11.27,20.78,1336425,1.11 MM,635.12,501,57,42.00,0.1882,-98.61,0.00003640,-99.04
AMLT Token,0.0744,0.0046,2.93,- 90.65,1616751,1.11 MM,91.17,432,20,42.00,0.0734,-93.73,0.00001263,-95.09
Curecoin,0.7986,0.0456,6.80,- 93.40,997358,1.11 MM,5.82 K,7169,66,33.00,1.18,-96.14,0.0005,-98.71
Observer,0.0024,0.0008,- 23.14,- 68.76,1098642,1.11 MM,67.92,354,11,25.00,0.0041,-79.86,0.00000102,-89.26
CyberMusic,0.00005258,0.00007324,294.23,39.29,1239771,1.10 MM,0.00,4,15,25.00,0.00009426,-22.30,0.00000001,-25.16
Bitcoin Confidential,0.0014,0.0001,- 29.97,- 89.17,1242358,1.10 MM,0.0600,239,6,17.00,0.0079,-98.11,0.00000099,-97.98
SESSIA,0.5786,0.1857,- 25.94,- 66.22,1468320,1.09 MM,53.28 K,2944660,3,8.00,0.5117,-63.72,0.00005254,-52.55
Ethereum Meta,0.0046,0.00002374,- 36.89,- 99.97,30260,1.09 MM,41.25,327,13,17.00,0.0253,-99.91,0.00000394,-100.00
Covesting,2.39,0.0602,- 8.53,- 97.44,1343811,1.08 MM,3.16 K,1069,22,33.00,2.05,-97.06,0.0002,-96.35
Winco,0.0033,0.0022,12.96,- 35.37,926289,1.07 MM,39.99,82,11,33.00,0.0088,-74.70,0.00000241,-87.55
Chronobank,12.89,1.51,- 18.05,- 89.62,1081486,1.07 MM,27.39 K,29501,33,50.00,49.41,-96.95,0.0129,-98.43
Akropolis,0.0251,0.0015,- 47.56,- 93.31,2057016,1.07 MM,221.03 K,563341,5,8.00,0.0494,-97.03,0.00000508,-96.06
