Name,Price,2% of Avg. YoY Bitcoin growth (2010-'16),10% of Avg. YoY Bitcoin growth (2010-'16),50% of Avg. Bitcoin YoY growth (2010-'16),Avg. YoY growth of The Internet (1995-2017),Avg. YoY growth of The Mobile Phone (1993-2013),Avg. YoY growth of Google (2000-'15),Avg. YoY growth of Facebook (2004-'16),4% Worldwide M0 money flows into the crypto market,4% Worldwide M1 money flows into the crypto market,4% Worldwide M2 money flows into the crypto market
Aurora,0.0216,0.0074,0.0088,0.0158,0.0091,0.0090,0.0110,0.0156,0.0166,0.0932,0.2358
Komodo,1.19,0.6483,0.7715,1.39,0.7972,0.7905,0.9638,1.37,1.45,8.17,20.67
Huobi Token,2.62,0.9747,1.16,2.09,1.20,1.19,1.45,2.06,2.19,12.29,31.08
Bytom,0.1308,0.0802,0.0954,0.1716,0.0986,0.0978,0.1192,0.1694,0.1799,1.01,2.56
ABBC Coin,0.2535,0.0731,0.0870,0.1565,0.0899,0.0892,0.1087,0.1545,0.1640,0.9218,2.33
Steem,0.3835,0.2862,0.3406,0.6125,0.3519,0.3490,0.4255,0.6047,0.6420,3.61,9.13
Qubitica,43.02,5.35,6.36,11.44,6.57,6.52,7.95,11.30,11.99,67.39,170.45
Insight Chain,0.3328,0.3018,0.3591,0.6458,0.3711,0.3679,0.4486,0.6376,0.6769,3.80,9.62
Enjin Coin,0.1504,0.0291,0.0346,0.0622,0.0358,0.0355,0.0432,0.0615,0.0652,0.3667,0.9273
ThoreCoin,1159.39,0.3260,0.3879,0.6977,0.4009,0.3975,0.4846,0.6888,0.7313,4.11,10.39
THETA,0.1130,0.0722,0.0859,0.1544,0.0887,0.0880,0.1073,0.1525,0.1619,0.9096,2.30
Status,0.0279,0.0189,0.0224,0.0404,0.0232,0.0230,0.0280,0.0399,0.0423,0.2378,0.6013
Golem,0.0957,0.0585,0.0696,0.1251,0.0719,0.0713,0.0869,0.1235,0.1312,0.7370,1.86
KuCoin Shares,1.03,0.3706,0.4410,0.7932,0.4557,0.4519,0.5510,0.7831,0.8314,4.67,11.82
Walton,2.20,1.01,1.21,2.17,1.25,1.24,1.51,2.14,2.28,12.79,32.35
Stratis,0.9149,0.8032,0.9558,1.72,0.9876,0.9793,1.19,1.70,1.80,10.13,25.61
Cryptonex,1.61,1.03,1.23,2.21,1.27,1.26,1.54,2.18,2.32,13.03,32.96
Factom,9.09,6.47,7.70,13.85,7.96,7.89,9.62,13.68,14.52,81.60,206.38
Ardor,0.0841,0.0516,0.0614,0.1105,0.0635,0.0630,0.0768,0.1091,0.1158,0.6509,1.65
Crypto.com,5.26,2.08,2.47,4.44,2.55,2.53,3.09,4.39,4.66,26.18,66.22
Dent,0.0012,0.0010,0.0012,0.0022,0.0013,0.0013,0.0016,0.0022,0.0024,0.0132,0.0334
Dai,1.01,1.04,1.24,2.22,1.28,1.27,1.54,2.20,2.33,13.10,33.13
Mixin,178.85,100.73,119.87,215.57,123.86,122.81,149.75,212.83,225.96,1269.83,3211.50
Horizen,12.22,4.06,4.84,8.70,5.00,4.95,6.04,8.59,9.12,51.23,129.56
VestChain,0.0111,0.0036,0.0043,0.0077,0.0044,0.0044,0.0053,0.0076,0.0080,0.0452,0.1143
Project Pai,0.0539,0.0319,0.0380,0.0683,0.0392,0.0389,0.0474,0.0674,0.0716,0.4022,1.02
MaidSafeCoin,0.1721,0.1197,0.1424,0.2562,0.1472,0.1459,0.1779,0.2529,0.2685,1.51,3.82
aelf,0.2170,0.1041,0.1239,0.2227,0.1280,0.1269,0.1547,0.2199,0.2335,1.31,3.32
DigixDAO,38.42,16.15,19.21,34.56,19.85,19.69,24.00,34.12,36.22,203.55,514.79
TrueChain,0.9255,0.2319,0.2760,0.4963,0.2852,0.2828,0.3448,0.4900,0.5202,2.92,7.39
MonaCoin,1.08,0.4946,0.5886,1.06,0.6082,0.6031,0.7353,1.05,1.11,6.24,15.77
GXChain,1.18,0.5631,0.6701,1.21,0.6924,0.6865,0.8371,1.19,1.26,7.10,17.95
Santiment Network Token,1.12,0.4161,0.4952,0.8906,0.5117,0.5074,0.6186,0.8792,0.9335,5.25,13.27
Aion,0.2250,0.1139,0.1355,0.2437,0.1400,0.1389,0.1693,0.2406,0.2555,1.44,3.63
WAX,0.0735,0.0333,0.0396,0.0712,0.0409,0.0406,0.0494,0.0703,0.0746,0.4193,1.06
Ark,0.6110,0.3821,0.4547,0.8177,0.4698,0.4659,0.5680,0.8073,0.8571,4.82,12.18
HyperCash,1.43,0.9477,1.13,2.03,1.17,1.16,1.41,2.00,2.13,11.95,30.21
ReddCoin,0.0021,0.0012,0.0014,0.0026,0.0015,0.0015,0.0018,0.0025,0.0027,0.0151,0.0382
ZCoin,7.93,4.93,5.87,10.55,6.06,6.01,7.33,10.41,11.06,62.14,157.16
Loom Network,0.0753,0.0416,0.0496,0.0891,0.0512,0.0508,0.0619,0.0880,0.0934,0.5251,1.33
Decentraland,0.0563,0.0367,0.0437,0.0786,0.0452,0.0448,0.0546,0.0776,0.0824,0.4630,1.17
Clipper Coin,0.0156,0.0022,0.0027,0.0048,0.0027,0.0027,0.0033,0.0047,0.0050,0.0281,0.0711
Loopring,0.0656,0.0566,0.0674,0.1212,0.0696,0.0690,0.0842,0.1196,0.1270,0.7136,1.80
Clams,16.27,1.49,1.77,3.18,1.83,1.81,2.21,3.14,3.33,18.73,47.37
LAToken,0.1518,0.0596,0.0709,0.1276,0.0733,0.0727,0.0886,0.1259,0.1337,0.7514,1.90
Elastos,3.69,2.23,2.66,4.78,2.75,2.72,3.32,4.72,5.01,28.16,71.22
Populous,1.05,1.23,1.47,2.64,1.52,1.50,1.83,2.60,2.76,15.54,39.29
Nebulas Token,1.22,0.5498,0.6543,1.18,0.6761,0.6704,0.8173,1.16,1.23,6.93,17.53
Maximine Coin,0.0330,0.0106,0.0127,0.0228,0.0131,0.0130,0.0158,0.0225,0.0239,0.1342,0.3393
Metaverse ETP,0.7609,0.6331,0.7535,1.36,0.7786,0.7720,0.9413,1.34,1.42,7.98,20.19
Electroneum,0.0057,0.0070,0.0083,0.0150,0.0086,0.0085,0.0104,0.0148,0.0157,0.0882,0.2229
iExec RLC,0.6746,0.2478,0.2949,0.5303,0.3047,0.3021,0.3684,0.5236,0.5559,3.12,7.90
Revain,0.1105,0.1520,0.1809,0.3254,0.1869,0.1854,0.2260,0.3212,0.3410,1.92,4.85
Nuls,0.7433,0.3960,0.4712,0.8474,0.4869,0.4828,0.5886,0.8366,0.8882,4.99,12.62
MOAC,0.8189,0.4763,0.5668,1.02,0.5857,0.5807,0.7081,1.01,1.07,6.00,15.19
Power Ledger,0.1248,0.0823,0.0979,0.1761,0.1012,0.1003,0.1223,0.1738,0.1846,1.04,2.62
SOLVE,0.2151,0.1539,0.1831,0.3293,0.1892,0.1876,0.2287,0.3251,0.3451,1.94,4.91
Arcblock,0.4867,0.0706,0.0840,0.1511,0.0868,0.0861,0.1050,0.1492,0.1584,0.8900,2.25
WaykiChain,0.2488,0.1256,0.1494,0.2687,0.1544,0.1531,0.1867,0.2653,0.2817,1.58,4.00
Bancor,0.7635,0.4926,0.5862,1.05,0.6057,0.6006,0.7323,1.04,1.10,6.21,15.70
QASH,0.1323,0.0677,0.0806,0.1449,0.0832,0.0825,0.1006,0.1430,0.1519,0.8535,2.16
Wanchain,0.4153,0.2765,0.3291,0.5918,0.3400,0.3372,0.4111,0.5843,0.6203,3.49,8.82
FunFair,0.0067,0.0041,0.0049,0.0087,0.0050,0.0050,0.0061,0.0086,0.0091,0.0514,0.1300
Bread,0.4848,0.1992,0.2371,0.4264,0.2450,0.2429,0.2962,0.4210,0.4470,2.51,6.35
Kyber Network,0.2562,0.1214,0.1445,0.2598,0.1493,0.1480,0.1805,0.2565,0.2723,1.53,3.87
Particl,5.29,2.33,2.77,4.99,2.86,2.84,3.46,4.92,5.23,29.37,74.27
Veritaseum,19.79,13.06,15.54,27.95,16.06,15.92,19.42,27.60,29.30,164.65,416.42
Nxt,0.0416,0.0258,0.0307,0.0552,0.0317,0.0314,0.0383,0.0545,0.0578,0.3250,0.8219
Polymath,0.0973,0.0910,0.1083,0.1948,0.1119,0.1110,0.1353,0.1923,0.2042,1.15,2.90
Nexo,0.0714,0.0625,0.0744,0.1338,0.0769,0.0762,0.0930,0.1321,0.1403,0.7884,1.99
