Name,Price,2% of Avg. YoY Bitcoin growth (2010-'16),10% of Avg. YoY Bitcoin growth (2010-'16),50% of Avg. Bitcoin YoY growth (2010-'16),Avg. YoY growth of The Internet (1995-2017),Avg. YoY growth of The Mobile Phone (1993-2013),Avg. YoY growth of Google (2000-'15),Avg. YoY growth of Facebook (2004-'16),4% Worldwide M0 money flows into the crypto market,4% Worldwide M1 money flows into the crypto market,4% Worldwide M2 money flows into the crypto market
GoldCoin,0.0873,0.0672,0.0800,0.1439,0.0827,0.0820,0.0999,0.1420,0.1508,0.8474,2.14
Wibson,0.0014,0.0008,0.0009,0.0017,0.0010,0.0010,0.0012,0.0017,0.0018,0.0099,0.0250
ADAMANT Messenger,0.0444,0.0378,0.0450,0.0809,0.0465,0.0461,0.0562,0.0799,0.0848,0.4766,1.21
Nasdacoin,0.1809,0.6070,0.7224,1.30,0.7464,0.7401,0.9024,1.28,1.36,7.65,19.35
Mooncoin,0.00001595,0.00000847,0.00001007,0.00001812,0.00001041,0.00001032,0.00001259,0.00001789,0.00001899,0.0001,0.0003
Paccoin,0.0005,0.0010,0.0012,0.0021,0.0012,0.0012,0.0015,0.0021,0.0022,0.0124,0.0314
Myriad,0.0022,0.0012,0.0014,0.0026,0.0015,0.0015,0.0018,0.0025,0.0027,0.0150,0.0380
Consensus,0.0022,0.0016,0.0020,0.0035,0.0020,0.0020,0.0024,0.0035,0.0037,0.0207,0.0523
Graft,0.0066,0.0054,0.0064,0.0116,0.0066,0.0066,0.0080,0.0114,0.0121,0.0681,0.1721
ColossusCoinXT,0.0003,0.0004,0.0004,0.0008,0.0005,0.0005,0.0005,0.0008,0.0008,0.0047,0.0118
Mintcoin,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0014,0.0035
VINchain,0.0074,0.0056,0.0067,0.0121,0.0069,0.0069,0.0084,0.0119,0.0127,0.0711,0.1798
PotCoin,0.0158,0.0178,0.0212,0.0382,0.0219,0.0217,0.0265,0.0377,0.0400,0.2248,0.5686
FintruX Network,0.0369,0.0165,0.0197,0.0354,0.0203,0.0201,0.0246,0.0349,0.0371,0.2083,0.5268
HiCoin,0.0008,0.0002,0.0003,0.0005,0.0003,0.0003,0.0003,0.0005,0.0005,0.0028,0.0070
Zen Protocol,0.1891,0.1570,0.1869,0.3361,0.1931,0.1915,0.2335,0.3318,0.3523,1.98,5.01
Smartshare,0.0008,0.0010,0.0012,0.0022,0.0013,0.0013,0.0015,0.0022,0.0023,0.0129,0.0327
Traceability Chain,0.0058,0.0016,0.0019,0.0034,0.0020,0.0020,0.0024,0.0034,0.0036,0.0202,0.0510
BitMart Token,0.0261,0.0126,0.0149,0.0269,0.0154,0.0153,0.0187,0.0265,0.0282,0.1583,0.4002
Unibright,0.0243,0.0125,0.0148,0.0267,0.0153,0.0152,0.0185,0.0264,0.0280,0.1572,0.3977
TE-FOOD,0.0067,0.0073,0.0087,0.0157,0.0090,0.0089,0.0109,0.0155,0.0165,0.0925,0.2339
Gene Source Code Chain,0.0092,0.0050,0.0059,0.0107,0.0061,0.0061,0.0074,0.0106,0.0112,0.0630,0.1593
Hiveterminal Token,0.0083,0.0029,0.0034,0.0061,0.0035,0.0035,0.0043,0.0061,0.0064,0.0361,0.0914
Counterparty,1.30,1.67,1.99,3.58,2.06,2.04,2.49,3.54,3.76,21.11,53.39
GridCoin,0.0081,0.0044,0.0053,0.0095,0.0055,0.0054,0.0066,0.0094,0.0100,0.0560,0.1417
Dignity,0.0064,0.0090,0.0107,0.0193,0.0111,0.0110,0.0134,0.0190,0.0202,0.1137,0.2874
Ice Rock Mining,0.2123,0.1935,0.2303,0.4141,0.2379,0.2359,0.2877,0.4088,0.4341,2.44,6.17
Bittwatt,0.0111,0.0147,0.0175,0.0315,0.0181,0.0180,0.0219,0.0311,0.0331,0.1858,0.4699
Omnitude,0.0511,0.0713,0.0849,0.1527,0.0877,0.0870,0.1060,0.1507,0.1600,0.8992,2.27
Haven Protocol,0.4195,0.2581,0.3072,0.5524,0.3174,0.3147,0.3837,0.5453,0.5790,3.25,8.23
Morpheus Labs,0.0160,0.0044,0.0052,0.0093,0.0054,0.0053,0.0065,0.0092,0.0098,0.0550,0.1391
SENSE,0.0088,0.0026,0.0031,0.0056,0.0032,0.0032,0.0039,0.0055,0.0059,0.0331,0.0836
Crown,0.1457,0.0977,0.1162,0.2090,0.1201,0.1191,0.1452,0.2064,0.2191,1.23,3.11
Yee,0.0023,0.0011,0.0013,0.0023,0.0013,0.0013,0.0016,0.0023,0.0024,0.0136,0.0345
DAO.Casino,0.0191,0.0091,0.0108,0.0195,0.0112,0.0111,0.0135,0.0193,0.0204,0.1149,0.2905
Bloom,0.0654,0.0304,0.0362,0.0650,0.0374,0.0370,0.0452,0.0642,0.0682,0.3830,0.9687
Sentinel,0.0016,0.0011,0.0013,0.0023,0.0013,0.0013,0.0016,0.0023,0.0024,0.0137,0.0347
Blackmoon Crypto,0.1407,0.1349,0.1605,0.2887,0.1659,0.1645,0.2005,0.2850,0.3026,1.70,4.30
AidCoin,0.0676,0.0358,0.0427,0.0767,0.0441,0.0437,0.0533,0.0757,0.0804,0.4519,1.14
Etheroll,0.4341,0.2376,0.2827,0.5084,0.2921,0.2897,0.3532,0.5020,0.5329,2.99,7.57
Adshares,0.1001,0.0583,0.0694,0.1248,0.0717,0.0711,0.0867,0.1232,0.1308,0.7352,1.86
Aurora DAO,0.0197,0.0207,0.0246,0.0443,0.0255,0.0252,0.0308,0.0437,0.0464,0.2610,0.6601
Nework,0.0204,0.0036,0.0043,0.0077,0.0044,0.0044,0.0053,0.0076,0.0080,0.0451,0.1141
Breezecoin,0.0664,0.1958,0.2330,0.4191,0.2408,0.2388,0.2911,0.4137,0.4393,2.47,6.24
Zper,0.0024,0.0010,0.0012,0.0021,0.0012,0.0012,0.0015,0.0021,0.0022,0.0125,0.0317
Footballcoin,0.0080,0.0039,0.0046,0.0083,0.0048,0.0047,0.0058,0.0082,0.0087,0.0489,0.1236
Curecoin,0.1234,0.0537,0.0640,0.1150,0.0661,0.0655,0.0799,0.1136,0.1206,0.6776,1.71
Ondori,0.00007902,0.00002272,0.00002704,0.00004863,0.00002794,0.00002770,0.00003378,0.00004801,0.00005097,0.0003,0.0007
Peerplays,0.6583,0.6602,0.7857,1.41,0.8119,0.8050,0.9815,1.40,1.48,8.32,21.05
Blue Whale Token,0.00008948,0.00009394,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0012,0.0030
Spectre.ai Utility Token,0.1182,0.0628,0.0747,0.1343,0.0772,0.0765,0.0933,0.1326,0.1408,0.7913,2.00
Change,0.0914,0.0715,0.0851,0.1531,0.0880,0.0872,0.1063,0.1511,0.1605,0.9017,2.28
ION,0.2047,0.1667,0.1983,0.3567,0.2050,0.2032,0.2478,0.3522,0.3739,2.10,5.31
Vites,0.00007902,0.00003622,0.00004310,0.00007751,0.00004453,0.00004416,0.00005384,0.00007652,0.00008124,0.0005,0.0012
LIFE,0.0001,0.00003622,0.00004310,0.00007751,0.00004453,0.00004416,0.00005384,0.00007652,0.00008124,0.0005,0.0012
Liquidity Network,0.0660,0.0446,0.0531,0.0955,0.0549,0.0544,0.0663,0.0943,0.1001,0.5624,1.42
Starta,0.5710,0.3895,0.4636,0.8337,0.4790,0.4750,0.5791,0.8231,0.8738,4.91,12.42
NuShares,0.0010,0.0001,0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,0.0003,0.0018,0.0046
Olympus Labs,0.0741,0.0441,0.0525,0.0945,0.0543,0.0538,0.0656,0.0932,0.0990,0.5564,1.41
Semux,0.2682,0.2161,0.2572,0.4625,0.2658,0.2635,0.3213,0.4566,0.4848,2.72,6.89
NeuroChain,0.0083,0.0041,0.0049,0.0089,0.0051,0.0050,0.0062,0.0087,0.0093,0.0522,0.1320
DACSEE,0.0037,0.0033,0.0040,0.0071,0.0041,0.0041,0.0049,0.0070,0.0075,0.0419,0.1060
Acute Angle Cloud,0.0111,0.0023,0.0028,0.0050,0.0029,0.0028,0.0035,0.0049,0.0052,0.0294,0.0744
FNKOS,0.0197,0.0108,0.0129,0.0232,0.0133,0.0132,0.0161,0.0229,0.0243,0.1364,0.3450
Skrumble Network,0.0028,0.0033,0.0039,0.0070,0.0040,0.0040,0.0048,0.0069,0.0073,0.0411,0.1040
Noku,0.1161,0.0917,0.1092,0.1964,0.1128,0.1119,0.1364,0.1939,0.2058,1.16,2.93
Kambria,0.0022,0.0051,0.0060,0.0108,0.0062,0.0062,0.0075,0.0107,0.0114,0.0639,0.1615
Experience Points,0.00000993,0.00001049,0.00001249,0.00002246,0.00001290,0.00001280,0.00001560,0.00002217,0.00002354,0.0001,0.0003
CoinPoker,0.0085,0.0020,0.0024,0.0043,0.0025,0.0025,0.0030,0.0043,0.0045,0.0254,0.0643
Xaurum,0.0310,0.0410,0.0488,0.0877,0.0504,0.0500,0.0609,0.0866,0.0919,0.5166,1.31
DAEX,0.0076,0.0053,0.0063,0.0113,0.0065,0.0064,0.0078,0.0111,0.0118,0.0664,0.1680
Observer,0.0020,0.0035,0.0041,0.0074,0.0043,0.0042,0.0052,0.0073,0.0078,0.0437,0.1105
Vexanium,0.0050,0.0225,0.0267,0.0481,0.0276,0.0274,0.0334,0.0475,0.0504,0.2833,0.7165
Kleros,0.0117,0.0056,0.0067,0.0120,0.0069,0.0068,0.0083,0.0118,0.0125,0.0705,0.1783
nOS,0.0258,0.0369,0.0439,0.0789,0.0453,0.0450,0.0548,0.0779,0.0827,0.4649,1.18
WeShow Token,0.0164,0.0115,0.0137,0.0246,0.0141,0.0140,0.0171,0.0242,0.0257,0.1446,0.3658
Neurotoken,0.0331,0.0262,0.0311,0.0560,0.0322,0.0319,0.0389,0.0553,0.0587,0.3298,0.8341
ALAX,0.0052,0.0018,0.0022,0.0039,0.0022,0.0022,0.0027,0.0039,0.0041,0.0231,0.0583
CVCoin,0.2104,0.1264,0.1504,0.2704,0.1554,0.1541,0.1879,0.2670,0.2835,1.59,4.03
AC3,0.0053,0.0017,0.0020,0.0036,0.0021,0.0020,0.0025,0.0035,0.0038,0.0212,0.0536
Nebula AI,0.0022,0.0010,0.0012,0.0021,0.0012,0.0012,0.0014,0.0021,0.0022,0.0123,0.0311
OKCash,0.0341,0.0146,0.0174,0.0313,0.0180,0.0178,0.0218,0.0309,0.0328,0.1845,0.4666
Proxeus,0.0125,0.0021,0.0025,0.0045,0.0026,0.0026,0.0031,0.0045,0.0047,0.0266,0.0673
SophiaTX,0.0077,0.0229,0.0272,0.0489,0.0281,0.0279,0.0340,0.0483,0.0513,0.2883,0.7291
Rapids,0.0003,0.00008373,0.00009964,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0011,0.0027
Nexty,0.00001640,0.00001964,0.00002337,0.00004204,0.00002415,0.00002395,0.00002920,0.00004150,0.00004406,0.0002,0.0006
TrueFlip,0.3963,0.2084,0.2480,0.4460,0.2562,0.2541,0.3098,0.4403,0.4675,2.63,6.64
Soarcoin,0.0023,0.0018,0.0021,0.0038,0.0022,0.0022,0.0026,0.0037,0.0040,0.0224,0.0566
SolarCoin,0.0471,0.0240,0.0286,0.0514,0.0296,0.0293,0.0357,0.0508,0.0539,0.3030,0.7662
XEL,0.0269,0.0292,0.0348,0.0626,0.0360,0.0357,0.0435,0.0618,0.0656,0.3687,0.9325
AsiaCoin,0.0011,0.0011,0.0013,0.0024,0.0014,0.0014,0.0017,0.0023,0.0025,0.0140,0.0354
AMLT Token,0.0103,0.0126,0.0150,0.0270,0.0155,0.0154,0.0187,0.0266,0.0283,0.1590,0.4020
Flash,0.0027,0.0074,0.0088,0.0158,0.0091,0.0090,0.0110,0.0156,0.0166,0.0931,0.2354
AI Doctor,0.0054,0.0034,0.0040,0.0072,0.0041,0.0041,0.0050,0.0071,0.0075,0.0424,0.1072
Zeusshield,0.0021,0.0014,0.0017,0.0030,0.0017,0.0017,0.0021,0.0030,0.0032,0.0178,0.0449
Moneytoken,0.0003,0.0004,0.0005,0.0009,0.0005,0.0005,0.0006,0.0009,0.0009,0.0053,0.0134
ShipChain,0.0101,0.0047,0.0056,0.0101,0.0058,0.0058,0.0070,0.0100,0.0106,0.0596,0.1508
Phantasma,0.0410,0.0239,0.0285,0.0512,0.0294,0.0292,0.0356,0.0506,0.0537,0.3016,0.7629
Medicalchain,0.0086,0.0049,0.0058,0.0104,0.0060,0.0059,0.0072,0.0103,0.0109,0.0612,0.1549
Plus-Coin,0.0043,0.0029,0.0034,0.0061,0.0035,0.0035,0.0043,0.0060,0.0064,0.0361,0.0912
DNotes,0.0175,0.0109,0.0130,0.0234,0.0134,0.0133,0.0162,0.0231,0.0245,0.1376,0.3481
Playgroundz,0.0822,0.1462,0.1740,0.3129,0.1798,0.1783,0.2174,0.3089,0.3280,1.84,4.66
Switcheo,0.0045,0.0035,0.0041,0.0074,0.0042,0.0042,0.0051,0.0073,0.0077,0.0435,0.1101
Lisk Machine Learning,0.0195,0.1061,0.1263,0.2271,0.1305,0.1294,0.1578,0.2243,0.2381,1.34,3.38
RightMesh,0.0381,0.0294,0.0349,0.0628,0.0361,0.0358,0.0436,0.0620,0.0658,0.3701,0.9359
Dynamic,0.1658,0.2604,0.3099,0.5573,0.3202,0.3175,0.3871,0.5502,0.5841,3.28,8.30
Internxt,3.68,0.9711,1.16,2.08,1.19,1.18,1.44,2.05,2.18,12.24,30.96
NewYorkCoin,0.00001730,0.00000773,0.00000920,0.00001655,0.00000951,0.00000943,0.00001149,0.00001634,0.00001734,0.00009747,0.0002
Chronobank,3.25,1.98,2.36,4.25,2.44,2.42,2.95,4.19,4.45,25.01,63.26
ugChain,0.0040,0.0024,0.0029,0.0051,0.0029,0.0029,0.0036,0.0051,0.0054,0.0302,0.0764
Tolar,0.0093,0.0043,0.0051,0.0092,0.0053,0.0052,0.0064,0.0091,0.0096,0.0540,0.1367
Eligma Token,0.0162,0.0078,0.0092,0.0166,0.0095,0.0095,0.0115,0.0164,0.0174,0.0979,0.2475
Distributed Credit Chain,0.0008,0.0011,0.0013,0.0024,0.0014,0.0014,0.0016,0.0023,0.0025,0.0140,0.0354
Digital Asset Guarantee Token,0.0980,0.0343,0.0409,0.0735,0.0422,0.0419,0.0510,0.0726,0.0770,0.4329,1.09
RevolutionVR,0.0107,0.0122,0.0145,0.0260,0.0150,0.0148,0.0181,0.0257,0.0273,0.1534,0.3879
Olive,0.0081,0.0012,0.0014,0.0025,0.0014,0.0014,0.0017,0.0025,0.0026,0.0147,0.0372
Winding Tree,0.1051,0.1423,0.1693,0.3046,0.1750,0.1735,0.2116,0.3007,0.3192,1.79,4.54
Alis,0.0573,0.0163,0.0194,0.0349,0.0201,0.0199,0.0243,0.0345,0.0366,0.2057,0.5201
Paypex,0.0326,0.0140,0.0166,0.0299,0.0172,0.0170,0.0208,0.0295,0.0313,0.1762,0.4456
Peculium,0.0011,0.0013,0.0016,0.0028,0.0016,0.0016,0.0020,0.0028,0.0029,0.0165,0.0419
Merculet,0.0007,0.0002,0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,0.0004,0.0020,0.0051
XinFin Network,0.0006,0.0006,0.0007,0.0012,0.0007,0.0007,0.0008,0.0012,0.0013,0.0070,0.0178
ZMINE,0.0166,0.0083,0.0098,0.0177,0.0102,0.0101,0.0123,0.0175,0.0185,0.1042,0.2636
Mysterium,0.0929,0.0484,0.0576,0.1036,0.0595,0.0590,0.0719,0.1022,0.1086,0.6100,1.54
Howdoo,0.0131,0.0066,0.0078,0.0141,0.0081,0.0080,0.0098,0.0139,0.0148,0.0831,0.2102
UpToken,0.0149,0.0229,0.0273,0.0491,0.0282,0.0279,0.0341,0.0484,0.0514,0.2890,0.7308
Cloudbric,0.0055,0.0044,0.0053,0.0094,0.0054,0.0054,0.0066,0.0093,0.0099,0.0556,0.1407
Oxycoin,0.0023,0.0015,0.0018,0.0033,0.0019,0.0019,0.0023,0.0032,0.0034,0.0192,0.0485
SUQA,0.0034,0.0015,0.0017,0.0031,0.0018,0.0018,0.0022,0.0031,0.0033,0.0185,0.0467
STK,0.0062,0.0025,0.0030,0.0054,0.0031,0.0031,0.0038,0.0054,0.0057,0.0320,0.0809
COBINHOOD,0.0052,0.0093,0.0110,0.0198,0.0114,0.0113,0.0138,0.0196,0.0208,0.1169,0.2956
Privatix,1.96,0.8808,1.05,1.89,1.08,1.07,1.31,1.86,1.98,11.10,28.08
Eden,0.0036,0.0033,0.0040,0.0071,0.0041,0.0041,0.0049,0.0070,0.0075,0.0420,0.1061
Decision Token,0.0665,0.0457,0.0543,0.0977,0.0561,0.0557,0.0679,0.0965,0.1024,0.5756,1.46
Hi Mutual Society,0.0052,0.0064,0.0076,0.0137,0.0079,0.0078,0.0095,0.0135,0.0144,0.0808,0.2044
Bitdice,0.0299,0.0326,0.0388,0.0698,0.0401,0.0397,0.0485,0.0689,0.0731,0.4109,1.04
ATC Coin,0.0066,0.0248,0.0295,0.0530,0.0304,0.0302,0.0368,0.0523,0.0555,0.3121,0.7894
YEED,0.0004,0.0004,0.0004,0.0008,0.0004,0.0004,0.0005,0.0008,0.0008,0.0046,0.0116
MonetaryUnit,0.0132,0.0137,0.0162,0.0292,0.0168,0.0166,0.0203,0.0288,0.0306,0.1721,0.4353
HorusPay,0.0024,0.0013,0.0015,0.0028,0.0016,0.0016,0.0019,0.0027,0.0029,0.0163,0.0413
Constellation,0.0020,0.0014,0.0016,0.0029,0.0017,0.0017,0.0020,0.0029,0.0030,0.0171,0.0433
HashCoin,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0013,0.0034
aXpire,0.0073,0.0065,0.0078,0.0140,0.0080,0.0080,0.0097,0.0138,0.0147,0.0824,0.2083
Vipstar Coin,0.00005929,0.00006112,0.00007273,0.0001,0.00007515,0.00007452,0.00009086,0.0001,0.0001,0.0008,0.0019
eSDChain,0.0168,0.0065,0.0077,0.0139,0.0080,0.0079,0.0096,0.0137,0.0145,0.0817,0.2066
Rate3,0.0023,0.0018,0.0021,0.0039,0.0022,0.0022,0.0027,0.0038,0.0040,0.0227,0.0575
DIMCOIN,0.0010,0.0012,0.0014,0.0026,0.0015,0.0015,0.0018,0.0025,0.0027,0.0152,0.0383
LUXCoin,0.3666,0.4428,0.5270,0.9477,0.5445,0.5399,0.6583,0.9357,0.9934,5.58,14.12
TRONCLASSIC,0.00000434,0.00000725,0.00000862,0.00001551,0.00000891,0.00000884,0.00001077,0.00001531,0.00001626,0.00009137,0.0002
Datum,0.0020,0.0007,0.0008,0.0015,0.0009,0.0009,0.0010,0.0015,0.0016,0.0088,0.0222
EnergiToken,0.0011,0.0007,0.0008,0.0015,0.0009,0.0009,0.0010,0.0015,0.0016,0.0089,0.0225
Plair,0.00009964,0.00009594,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0012,0.0031
Insights Network,0.0142,0.0077,0.0092,0.0166,0.0095,0.0094,0.0115,0.0164,0.0174,0.0976,0.2469
CEEK VR,0.0040,0.0055,0.0065,0.0117,0.0067,0.0067,0.0082,0.0116,0.0123,0.0691,0.1748
Cryptopay,0.0287,0.0146,0.0174,0.0313,0.0180,0.0178,0.0217,0.0309,0.0328,0.1844,0.4663
Open Platform,0.0027,0.0028,0.0034,0.0060,0.0035,0.0034,0.0042,0.0060,0.0063,0.0356,0.0900
MidasProtocol,0.0066,0.0040,0.0048,0.0086,0.0049,0.0049,0.0060,0.0085,0.0090,0.0505,0.1277
Cardstack,0.0008,0.0006,0.0008,0.0014,0.0008,0.0008,0.0009,0.0013,0.0014,0.0080,0.0203
Bankex,0.0205,0.0131,0.0156,0.0281,0.0162,0.0160,0.0195,0.0278,0.0295,0.1656,0.4189
Rise,0.0142,0.0160,0.0191,0.0343,0.0197,0.0195,0.0238,0.0339,0.0360,0.2021,0.5110
Bodhi,0.0485,0.0393,0.0467,0.0841,0.0483,0.0479,0.0584,0.0830,0.0881,0.4952,1.25
Trinity Network Credit,0.0058,0.0029,0.0035,0.0062,0.0036,0.0035,0.0043,0.0061,0.0065,0.0366,0.0924
The Abyss,0.0085,0.0054,0.0064,0.0115,0.0066,0.0065,0.0080,0.0113,0.0120,0.0675,0.1708
Pal Network,0.0043,0.0041,0.0048,0.0087,0.0050,0.0050,0.0061,0.0086,0.0091,0.0514,0.1299
BitSend,0.0821,0.0476,0.0566,0.1018,0.0585,0.0580,0.0707,0.1005,0.1067,0.5995,1.52
TV-TWO,0.0045,0.0056,0.0067,0.0120,0.0069,0.0068,0.0083,0.0118,0.0126,0.0706,0.1785
Bitcoin Interest,0.1036,0.2307,0.2746,0.4938,0.2837,0.2813,0.3430,0.4876,0.5176,2.91,7.36
Quasarcoin,0.0113,0.0207,0.0246,0.0442,0.0254,0.0252,0.0307,0.0436,0.0463,0.2603,0.6584
Friendz,0.0039,0.0041,0.0048,0.0087,0.0050,0.0050,0.0061,0.0086,0.0091,0.0514,0.1299
Skychain,0.2518,0.1144,0.1362,0.2449,0.1407,0.1395,0.1701,0.2418,0.2567,1.44,3.65
NoLimitCoin,0.0089,0.0120,0.0143,0.0258,0.0148,0.0147,0.0179,0.0254,0.0270,0.1518,0.3839
Novacoin,0.7990,0.4029,0.4794,0.8622,0.4954,0.4912,0.5989,0.8512,0.9037,5.08,12.84
EBCoin,0.0005,0.0006,0.0007,0.0013,0.0007,0.0007,0.0009,0.0013,0.0014,0.0076,0.0193
Espers,0.00008089,0.00007243,0.00008620,0.0002,0.00008907,0.00008832,0.0001,0.0002,0.0002,0.0009,0.0023
Humaniq,0.0100,0.0079,0.0094,0.0169,0.0097,0.0096,0.0118,0.0167,0.0178,0.0998,0.2523
WeTrust,0.0197,0.0093,0.0110,0.0199,0.0114,0.0113,0.0138,0.0196,0.0208,0.1171,0.2960
Snetwork,0.0120,0.0097,0.0116,0.0208,0.0120,0.0119,0.0145,0.0206,0.0219,0.1228,0.3106
Blocktrade Token,0.0328,0.0270,0.0321,0.0578,0.0332,0.0329,0.0401,0.0570,0.0606,0.3404,0.8608
GINcoin,0.2971,0.6813,0.8107,1.46,0.8377,0.8307,1.01,1.44,1.53,8.59,21.72
OracleChain,0.0600,0.0450,0.0535,0.0962,0.0553,0.0548,0.0669,0.0950,0.1009,0.5669,1.43
Expanse,0.1712,0.0987,0.1174,0.2112,0.1214,0.1203,0.1467,0.2085,0.2214,1.24,3.15
Zap,0.0135,0.0090,0.0107,0.0193,0.0111,0.0110,0.0134,0.0190,0.0202,0.1136,0.2872
EXRNchain,0.00001920,0.00001590,0.00001892,0.00003402,0.00001955,0.00001938,0.00002363,0.00003359,0.00003566,0.0002,0.0005
FuzeX,0.0022,0.0026,0.0031,0.0056,0.0032,0.0032,0.0039,0.0055,0.0059,0.0330,0.0835
Happycoin,0.0906,0.1125,0.1339,0.2407,0.1383,0.1372,0.1672,0.2377,0.2523,1.42,3.59
Cappasity,0.0033,0.0017,0.0020,0.0037,0.0021,0.0021,0.0025,0.0036,0.0038,0.0215,0.0545
FarmaTrust,0.0029,0.0030,0.0036,0.0064,0.0037,0.0037,0.0045,0.0063,0.0067,0.0379,0.0958
Next.exchange,0.4363,0.1012,0.1205,0.2167,0.1245,0.1234,0.1505,0.2139,0.2271,1.28,3.23
Dotcoin,0.0056,0.0059,0.0070,0.0125,0.0072,0.0071,0.0087,0.0124,0.0131,0.0738,0.1867
DubaiCoin,0.4072,0.4748,0.5650,1.02,0.5839,0.5789,0.7059,1.00,1.07,5.99,15.14
RealTract,0.0002,0.00007241,0.00008617,0.0002,0.00008904,0.00008829,0.0001,0.0002,0.0002,0.0009,0.0023
SelfSell,0.0044,0.0027,0.0032,0.0058,0.0033,0.0033,0.0040,0.0057,0.0060,0.0339,0.0858
CanYaCoin,0.0348,0.0147,0.0175,0.0314,0.0181,0.0179,0.0218,0.0310,0.0330,0.1853,0.4685
Musicoin,0.0011,0.0008,0.0010,0.0018,0.0010,0.0010,0.0012,0.0018,0.0019,0.0105,0.0266
HOQU,0.0101,0.0108,0.0128,0.0230,0.0132,0.0131,0.0160,0.0227,0.0241,0.1356,0.3429
FREE Coin,0.00000020,0.00000068,0.00000081,0.00000145,0.00000083,0.00000083,0.00000101,0.00000143,0.00000152,0.00000855,0.00002161
Matchpool,0.0227,0.0171,0.0203,0.0365,0.0210,0.0208,0.0254,0.0360,0.0383,0.2150,0.5438
SureRemit,0.0034,0.0029,0.0035,0.0063,0.0036,0.0036,0.0044,0.0062,0.0066,0.0371,0.0939
GeoCoin,0.5296,0.2792,0.3322,0.5974,0.3433,0.3404,0.4150,0.5898,0.6262,3.52,8.90
Omni,2.99,2.12,2.53,4.54,2.61,2.59,3.16,4.49,4.76,26.77,67.70
X-Cash,0.00004791,0.00001555,0.00001850,0.00003328,0.00001912,0.00001896,0.00002311,0.00003285,0.00003488,0.0002,0.0005
Hacken,0.3112,0.2076,0.2470,0.4442,0.2552,0.2531,0.3086,0.4386,0.4656,2.62,6.62
Circuits of Value,0.0017,0.0012,0.0014,0.0026,0.0015,0.0015,0.0018,0.0025,0.0027,0.0151,0.0381
Synereo,0.0163,0.0150,0.0179,0.0322,0.0185,0.0183,0.0223,0.0318,0.0337,0.1895,0.4792
Blockchain Certified Data Token,0.0522,0.0044,0.0053,0.0095,0.0055,0.0054,0.0066,0.0094,0.0100,0.0560,0.1417
Bitcoin Green,0.2315,0.2430,0.2892,0.5201,0.2989,0.2963,0.3613,0.5135,0.5452,3.06,7.75
Upfiring,0.0753,0.0787,0.0936,0.1683,0.0967,0.0959,0.1169,0.1662,0.1764,0.9915,2.51
POPCHAIN,0.0018,0.0022,0.0026,0.0046,0.0027,0.0026,0.0032,0.0046,0.0048,0.0272,0.0688
EchoLink,0.0041,0.0034,0.0040,0.0072,0.0041,0.0041,0.0050,0.0071,0.0076,0.0425,0.1076
Insureum,0.0091,0.0091,0.0108,0.0194,0.0111,0.0111,0.0135,0.0192,0.0203,0.1143,0.2891
Bitcrystals,0.0701,0.0412,0.0491,0.0882,0.0507,0.0503,0.0613,0.0871,0.0925,0.5197,1.31
LikeCoin,0.0034,0.0018,0.0021,0.0038,0.0022,0.0021,0.0026,0.0037,0.0039,0.0221,0.0560
TransferCoin,0.2076,0.0764,0.0910,0.1636,0.0940,0.0932,0.1136,0.1615,0.1715,0.9636,2.44
Carboneum [C8] Token,0.0309,0.0080,0.0095,0.0172,0.0099,0.0098,0.0119,0.0169,0.0180,0.1011,0.2557
BrahmaOS,0.0026,0.0023,0.0027,0.0048,0.0028,0.0028,0.0034,0.0048,0.0051,0.0285,0.0721
Sharder,0.0056,0.0034,0.0040,0.0073,0.0042,0.0041,0.0050,0.0072,0.0076,0.0427,0.1081
Thrive Token,0.0153,0.0071,0.0085,0.0152,0.0088,0.0087,0.0106,0.0150,0.0160,0.0897,0.2269
Storiqa,0.0001,0.0003,0.0004,0.0007,0.0004,0.0004,0.0005,0.0006,0.0007,0.0038,0.0097
EncrypGen,0.0230,0.0449,0.0534,0.0961,0.0552,0.0547,0.0667,0.0949,0.1007,0.5659,1.43
Formosa Financial,0.0017,0.0007,0.0008,0.0014,0.0008,0.0008,0.0010,0.0014,0.0015,0.0085,0.0215
QuadrantProtocol,0.0046,0.0011,0.0013,0.0024,0.0014,0.0014,0.0017,0.0024,0.0025,0.0142,0.0360
Flixxo,0.0193,0.0137,0.0163,0.0292,0.0168,0.0166,0.0203,0.0289,0.0306,0.1721,0.4354
Wixlar,0.0137,0.0156,0.0185,0.0333,0.0191,0.0190,0.0231,0.0329,0.0349,0.1961,0.4959
LoMoCoin,0.0057,0.0038,0.0045,0.0080,0.0046,0.0046,0.0056,0.0079,0.0084,0.0473,0.1197
