Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap,MCAP BTC,24h Vol,24h Vol BTC,Circ. Supply,Total Supply,Max. Supply,Team,Advisors,Brand/Buzz,Product,Coin,Social,Communication,Business,GitHub,GitHub,Avg. volume,Age (mo),Winning months
Polymath,117,POLY,0.0973,0.00001229,-0.03,-1.01,26.39,-21.17,-31.30,-36.07,-63.07,-72.75,41.15 MM,$ 41.15 MM,14.65 MM,$ 14.65 MM,422.858 MM,"1,000,000,000",--,83.95,80,50,80,78,86,55,100,---,100,"2,058,745",12,12
Bitcoin Private,731,BTCP,0.3069,0.00003874,0.23,12.47,52.08,-74.18,-81.21,-85.47,-84.62,-95.45,1.44 MM,$ 1.44 MM,101.52 K,$ 101.52 K,4.688 MM,"22,717,926","22,873,588",83.85,---,---,80,93,78,0,100,---,90,"47,198",11,11
GoChain,225,GO,0.0221,0.00000280,0.97,-2.60,30.56,1.01,-8.41,-20.68,-66.71,-68.18,15.83 MM,$ 15.83 MM,2.83 MM,$ 2.83 MM,715.046 MM,"1,044,228,156",--,83.75,83,75,50,96,88,90,100,---,80,"920,964",8,8
Burst,385,BURST,0.0032,0.00000041,0.99,-8.15,-39.74,-13.82,-10.62,-42.76,-59.35,-75.86,6.56 MM,$ 6.56 MM,336.42 K,$ 336.42 K,2.040 Bn,"2,040,319,166","2,158,812,800",83.30,---,---,50,98,80,55,100,---,90,"61,183",53,53
BitShares,41,BTS,0.0718,0.00000907,-0.40,6.30,41.01,83.66,58.43,63.67,-26.12,-26.12%,195.16 MM,$ 195.16 MM,25.80 MM,$ 25.80 MM,2.718 Bn,"2,717,910,000","3,600,570,502",83.20,---,---,90,93,63,55,100,---,100,"3,545,431",55,55
Steem Dollars,334,SBD,1.02,0.00012845,-0.50,-0.33,8.23,7.50,25.81,43.28,3.93,-16.87,9.06 MM,$ 9.06 MM,1.07 MM,$ 1.07 MM,8.908 MM,"8,908,102",--,82.70,---,---,90,93,63,75,70,---,100,"115,704",31,31
IoTeX,129,IOTX,0.0104,0.00000132,0.10,-2.85,24.74,36.45,28.17,18.46,-43.10,-55.68,36.50 MM,$ 36.50 MM,2.80 MM,$ 2.80 MM,3.500 Bn,"10,000,000,000",--,82.60,86,75,50,76,82,100,100,---,100,"918,887",8,8
Zilliqa,47,ZIL,0.0187,0.00000236,0.05,-4.93,18.80,-16.30,-16.06,-6.76,-46.27,-74.36,162.16 MM,$ 162.16 MM,38.54 MM,$ 38.54 MM,8.687 Bn,"12,533,042,435",--,82.35,86,100,80,73,73,75,100,---,100,"14,882,924",12,12
XRP (Ripple),3,XRP,0.4180,0.00005277,0.01,-3.49,40.63,31.36,14.49,10.35,-18.34,-8.32,17.61 Bn,$ 17.61 Bn,4.94 Bn,$ 4.94 Bn,42.133 Bn,"99,991,633,428","100,000,000,000",82.30,71,50,100,84,83,100,100,60,---,"471,603,727",66,66
Bitcoin Cash,4,BCH,402.05,0.05075800,-0.16,1.27,42.09,208.81,140.87,107.69,-30.42,-48.15,7.15 Bn,$ 7.15 Bn,4.48 Bn,$ 4.48 Bn,17.786 MM,"17,785,713","21,000,000",82.25,---,---,80,88,77,0,100,---,90,"218,570,156",18,18
